area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00171152,26,26,26,29,29,49,59,58,37,38,31,18,16,17,15,12,6,8
E00171153,33,36,34,30,21,46,51,58,45,29,20,28,6,7,12,3,5,1
E00171155,14,16,21,19,27,25,23,19,21,17,26,26,8,8,8,3,5,2
E00171156,35,37,32,16,15,17,22,32,34,19,15,10,5,5,3,2,1,1
E00171158,25,43,43,39,14,19,33,32,28,33,18,20,11,12,14,8,5,1
E00171159,9,10,9,6,6,5,16,13,7,6,8,10,21,8,0,0,4,0
E00171161,17,16,18,31,18,22,11,14,20,14,22,28,16,10,4,3,6,2
E00171163,22,20,23,14,6,14,16,19,22,23,13,12,6,3,8,3,3,1
E00171164,44,33,44,19,13,21,40,34,26,23,16,10,4,3,2,2,3,1
E00171166,5,15,14,8,14,20,8,7,23,10,13,14,22,16,10,8,6,10
E00171167,16,16,17,11,15,31,33,18,20,18,23,29,29,16,21,14,5,6
E00171170,21,28,24,19,27,26,20,13,21,23,18,16,15,14,9,2,3,1
E00171172,17,17,44,47,36,34,17,22,25,26,25,21,18,6,11,2,3,2
E00171175,30,31,31,31,21,18,26,39,27,30,24,22,15,6,9,2,1,4
E00171177,39,36,25,13,9,31,36,14,30,24,11,4,3,6,3,1,0,1
E00171178,24,26,18,16,16,34,31,31,30,19,25,13,12,6,6,3,3,1
E00171180,24,26,18,20,20,20,36,39,39,37,26,19,8,3,3,2,5,1
E00171181,15,34,45,40,32,27,25,30,26,25,28,20,17,7,7,4,3,3
E00171183,26,32,38,35,23,25,12,28,32,31,26,25,15,10,5,2,2,1
E00171184,14,14,17,20,20,21,24,9,9,21,27,29,10,5,5,0,7,2
E00171480,39,31,33,27,18,21,35,52,43,34,20,16,6,8,3,0,0,1
E00171481,29,29,28,20,22,31,39,41,45,23,18,19,15,9,1,5,6,1
E00171483,39,31,25,20,26,69,71,52,35,32,20,20,8,6,2,2,1,1
E00171484,71,14,18,16,52,109,55,22,20,23,56,48,4,10,1,7,3,5
E00171486,26,37,20,16,35,46,43,41,40,42,37,26,9,9,6,3,1,1
E00171488,48,20,27,16,11,25,26,32,21,17,13,14,5,4,0,0,2,0
E00171489,18,13,16,5,17,29,50,24,9,21,17,9,8,7,5,1,1,3
E00171491,9,6,2,1,10,27,41,38,12,12,8,4,3,2,4,1,0,1
E00171492,25,30,33,20,19,31,30,37,31,37,24,16,6,4,8,6,3,1
E00171494,26,33,45,56,25,23,41,51,36,49,20,18,19,8,13,7,6,3
E00171497,11,10,26,14,22,32,22,28,32,23,28,33,22,25,21,22,28,68
E00171498,7,9,12,12,16,13,10,10,12,16,18,15,14,15,8,14,4,12
E00171500,45,39,38,35,24,35,91,71,45,32,29,19,10,10,0,2,1,0
E00171503,5,4,9,6,9,9,18,14,16,12,8,6,7,2,1,0,1,1
E00171505,23,19,26,23,45,47,60,84,32,41,19,19,33,11,10,14,6,6
E00171506,10,8,10,4,13,25,39,24,18,11,14,12,17,14,3,0,1,1
E00171508,37,27,17,11,10,23,37,45,30,23,23,12,20,10,8,10,2,1
E00171509,9,7,11,18,12,24,26,27,29,18,18,17,14,12,12,10,5,6
E00171511,24,17,9,9,23,35,38,40,32,22,14,18,4,12,6,4,1,1
E00171512,14,26,21,19,24,16,24,33,33,25,26,21,15,7,7,1,4,5
E00171514,18,17,4,2,19,21,38,39,39,22,6,8,5,2,3,1,2,0
E00171519,6,7,7,5,34,106,55,34,16,10,12,7,3,2,5,1,2,7
E00171520,8,10,5,4,37,73,22,23,22,8,17,13,9,12,7,6,2,1
E00171524,25,17,6,15,16,64,47,31,25,24,26,24,20,9,5,3,3,0
E00171525,11,6,5,6,18,63,52,29,21,12,23,15,8,1,2,3,2,0
E00171530,16,11,12,13,17,63,58,29,16,14,12,12,4,9,3,1,0,2
