area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00081051,36,39,34,28,18,19,35,37,27,31,22,16,25,17,16,5,8,5
E00081052,16,19,23,23,23,34,26,29,25,20,39,40,25,17,13,6,6,15
E00081053,31,22,16,4,22,15,15,18,8,14,11,6,5,8,7,6,3,2
E00081054,12,25,19,21,15,14,25,28,23,19,26,20,11,7,7,4,1,4
E00081055,16,26,23,24,21,24,17,18,37,23,18,16,11,13,7,7,4,1
E00081056,10,25,35,35,13,25,23,27,10,10,39,22,18,16,9,8,6,2
E00081057,17,16,25,22,25,26,20,23,23,10,22,15,4,16,11,13,3,6
E00081058,25,39,38,29,39,28,28,19,25,22,32,28,18,6,4,2,3,0
E00081059,21,24,32,20,21,32,20,31,21,17,17,18,12,11,7,7,1,3
E00081060,17,19,18,21,20,15,30,24,19,27,19,21,17,22,14,8,7,1
E00081061,16,19,27,17,29,13,15,16,18,18,28,26,22,17,21,15,10,6
E00081062,17,26,9,15,17,25,18,11,25,19,11,21,24,9,6,4,10,0
E00081063,42,18,10,28,89,44,33,30,24,21,26,21,12,12,7,2,4,4
E00081065,45,32,22,19,25,30,23,12,16,9,18,26,16,9,8,3,3,1
E00081066,34,33,34,23,36,25,19,14,15,20,16,17,15,8,3,0,4,0
E00081067,14,13,14,11,45,41,30,9,11,15,29,20,17,15,3,8,1,5
E00081068,14,24,16,21,60,15,24,28,21,17,21,19,14,7,10,4,8,3
E00081069,38,37,23,16,25,19,32,27,35,21,29,26,15,14,11,5,1,0
E00081071,22,24,22,18,28,21,27,29,22,25,26,26,11,7,5,1,2,2
E00081072,21,19,13,19,20,20,29,23,10,14,30,24,12,7,14,9,3,6
E00081073,41,44,37,26,28,32,42,25,23,22,27,18,13,5,10,7,5,2
E00081074,25,26,25,24,28,31,35,28,20,16,22,21,11,14,13,5,5,4
E00081075,29,23,24,13,29,31,25,33,16,16,17,23,15,12,10,3,8,6
E00081076,16,15,13,23,30,23,15,18,10,14,17,15,16,11,8,2,6,3
E00081077,20,25,25,22,26,27,34,26,12,19,19,24,15,11,11,7,5,3
E00081078,32,29,29,21,30,26,25,36,26,21,13,16,11,5,4,6,3,2
E00081079,38,17,15,18,29,33,30,26,26,18,20,19,11,9,5,1,4,3
E00081080,21,22,22,18,28,26,43,18,18,23,20,13,19,17,10,3,5,5
E00081081,23,24,29,21,47,28,34,32,27,22,23,16,18,11,16,6,5,1
E00081082,24,30,21,19,35,38,34,34,17,26,25,28,21,15,9,5,3,3
E00081083,29,24,29,25,30,32,26,33,35,39,47,49,29,20,11,9,8,1
E00081084,31,24,12,16,44,30,23,27,18,19,21,16,16,6,9,6,4,3
E00081085,22,31,29,13,13,26,30,24,33,16,20,19,23,8,7,9,8,3
E00081086,22,30,20,20,14,21,31,31,30,12,25,23,13,18,8,5,4,1
E00081087,31,9,14,16,13,19,20,30,15,20,24,26,17,15,11,5,3,2
E00081088,27,23,26,20,36,28,42,28,17,25,20,24,13,4,13,4,2,2
E00081089,53,38,41,27,34,51,52,38,40,25,35,16,14,10,12,8,6,1
E00081090,34,20,20,21,61,40,37,35,27,24,23,20,17,13,6,3,3,2
E00081091,22,19,26,24,26,22,36,20,35,17,29,23,21,9,3,6,3,3
E00081092,28,24,12,21,20,29,35,27,25,35,28,23,17,11,9,7,5,4
E00081093,16,22,29,19,19,18,28,13,23,28,23,17,13,13,16,6,7,5
E00081094,23,29,27,27,18,25,24,27,24,27,29,17,13,11,9,4,5,4
E00081095,39,29,32,26,36,20,27,37,28,31,20,14,17,5,15,4,2,6
E00081096,43,34,33,23,32,27,38,32,30,24,23,18,14,6,10,9,2,4
E00081097,26,28,12,10,27,25,23,24,19,17,15,10,17,18,11,4,4,3
E00081098,35,20,19,22,20,37,26,37,31,22,22,14,9,8,7,5,1,1
E00081099,23,28,21,22,23,45,26,23,26,22,18,27,19,19,12,5,9,2
E00081100,31,29,27,28,32,38,33,31,28,28,23,30,20,13,8,3,3,4
E00081101,26,16,15,12,14,28,30,21,24,23,17,26,34,8,10,9,1,3
E00081102,15,19,28,18,11,8,21,31,20,17,14,31,13,15,14,13,3,2
E00081103,20,26,26,25,24,35,23,26,33,25,23,25,26,11,9,12,4,0
E00081104,21,28,33,26,17,22,28,22,28,22,35,30,16,11,18,11,8,4
E00081105,27,39,19,15,20,24,24,35,26,23,25,17,25,13,9,6,2,3
E00081106,18,30,31,29,16,19,38,26,30,24,19,21,13,12,7,8,5,1
E00081107,34,28,23,19,22,27,37,28,20,25,22,15,10,11,6,7,4,0
E00081108,29,20,25,24,18,14,36,27,23,27,29,30,14,12,4,5,7,1
E00081109,17,17,17,22,21,24,30,32,21,21,23,27,21,24,10,12,6,7
E00081110,20,24,22,21,14,19,25,21,28,23,34,24,22,9,17,7,1,1
E00081111,23,24,28,27,13,19,33,31,21,22,26,15,23,12,16,7,4,6
E00081112,14,22,26,22,21,27,28,18,29,25,18,29,27,22,13,7,6,0
E00081113,15,18,20,13,17,14,14,26,26,16,24,31,28,27,20,16,7,6
E00081114,26,24,25,19,13,18,32,23,19,26,20,27,18,9,14,12,6,8
E00081115,22,23,27,14,17,24,32,36,21,28,17,15,22,12,13,8,9,2
E00081116,27,23,15,23,7,21,23,19,28,27,20,29,18,9,7,4,5,2
E00081117,24,20,17,13,20,24,34,20,26,19,24,15,20,14,12,9,3,4
E00081118,37,29,33,20,18,37,25,35,22,27,24,37,27,21,14,12,4,3
E00081119,24,27,19,17,24,20,34,27,20,11,22,22,15,10,5,2,4,0
E00081120,35,30,25,22,20,41,46,36,23,27,24,22,14,16,4,5,3,4
E00081121,23,20,19,28,23,37,25,24,23,22,24,24,21,15,11,7,5,2
E00081122,18,31,37,20,20,18,24,32,32,22,24,13,16,7,13,9,2,2
E00081123,26,24,22,18,20,30,34,22,33,24,23,17,16,16,13,7,7,15
E00081124,34,27,21,23,25,47,42,38,23,25,24,31,18,10,12,7,7,2
E00081125,22,25,30,18,18,18,21,26,19,18,21,17,14,12,7,4,3,4
E00081126,23,27,14,17,21,21,42,36,24,17,21,24,11,8,15,9,3,4
E00081127,16,20,25,26,30,31,37,24,25,22,29,27,15,13,9,12,4,1
E00081128,26,12,19,26,30,29,38,21,15,19,23,19,11,9,14,8,5,2
E00081129,26,33,51,30,16,25,31,30,35,34,23,18,9,10,5,4,0,2
E00081130,21,27,32,25,26,21,20,37,25,28,19,17,16,8,7,9,5,3
E00081131,20,29,26,18,17,24,28,28,26,22,21,19,6,14,10,3,2,0
E00081132,11,14,23,14,9,21,14,23,18,18,16,22,15,10,15,6,3,8
E00081133,21,35,27,25,21,20,23,29,32,26,19,22,26,9,6,2,5,3
E00081134,29,30,31,21,24,32,34,30,33,29,29,23,19,12,10,7,2,1
E00081135,24,22,38,25,29,25,28,26,39,28,43,48,61,39,33,17,15,6
E00081136,10,16,17,13,14,11,11,18,16,13,17,20,15,27,22,15,11,6
E00081137,19,13,35,20,24,14,17,15,32,43,22,18,27,24,29,17,26,21
E00081138,17,13,11,5,8,22,12,17,19,11,22,20,22,21,28,11,12,11
E00081139,15,16,18,11,7,10,19,16,16,16,18,15,14,14,9,11,9,13
E00081140,12,21,21,16,14,17,14,25,18,24,17,24,16,30,28,20,31,41
E00081141,18,22,16,14,20,16,15,31,17,24,20,12,26,12,22,10,6,2
E00081142,16,22,11,19,13,19,23,23,14,25,28,21,31,13,17,6,1,3
E00081143,12,14,9,19,24,15,13,12,12,20,29,27,32,25,43,29,12,8
