msoa,staff/owner,staff/owner's relative,temporary/visiting
E02002129,0,0,0
E02002130,0,0,0
E02002131,0,0,0
E02002132,0,0,0
E02002133,0,0,0
E02002134,0,0,2
E02002135,0,0,0
E02002136,0,0,0
E02002137,0,0,0
E02002138,0,0,0
E02002139,2,0,27
E02002140,0,0,1
E02002141,0,0,0
E02002142,0,0,0
E02002143,0,0,0
E02002144,2,0,4
E02002145,0,0,0
E02002146,6,0,0
E02002147,0,0,0
E02002148,0,0,0
E02002149,0,0,0
E02002150,0,0,0
E02002151,0,0,0
E02002152,0,2,0
E02002153,0,0,0
E02002154,0,0,0
E02002155,0,0,0
E02002156,0,0,0
E02002157,0,1,0
E02002158,0,0,0
E02002159,0,0,0
E02002160,0,1,0
E02002161,0,0,0
E02002162,7,0,3
E02002163,0,2,0
E02002164,0,0,29
E02002165,1,0,0
E02002166,0,0,0
E02002167,0,0,0
E02002168,0,0,14
E02002169,4,0,0
E02002170,0,0,0
E02002171,0,0,0
E02002174,0,0,0
E02002175,0,0,5
E02002176,0,0,0
E02002177,2,0,2
E02002178,0,0,0
E02002179,0,0,0
E02002180,0,0,0
E02002181,0,0,0
E02002182,0,0,0
E02002905,1,8,0
E02002906,0,0,0
E02002907,0,2,2
E02002908,6,0,0
E02002909,5,5,1
E02002910,2,0,0
E02002911,7,1,9
E02002912,0,2,12
E02002913,103,11,2
E02002914,0,0,7
E02002915,6,0,0
E02002916,5,2,2
E02002917,0,0,2
E02002918,0,0,0
E02002919,1,0,0
E02002920,1,0,3
E02002921,0,0,0
E02002922,2,0,1
E02002923,0,0,5
E02002924,2,0,0
E02002925,12,0,1
E02002926,1,0,0
E02002927,4,2,1
E02002928,0,0,0
E02002929,0,0,8
E02002930,1,0,0
E02002931,0,0,0
E02002932,0,0,3
E02002933,0,2,0
E02002934,0,0,0
E02002935,0,0,0
E02002936,0,0,0
E02002937,1,0,10
E02002938,3,2,9
E02002939,0,1,0
E02002940,0,0,1
E02002941,0,0,0
E02002942,2,0,0
E02002944,0,0,0
E02002945,0,0,0
E02002946,0,0,0
E02002947,0,1,2
E02002948,0,0,0
E02002949,0,0,0
E02002950,0,0,0
E02002951,0,0,0
E02002952,0,0,1
E02002953,5,0,0
E02002954,0,0,0
E02002955,1,0,0
E02002956,1,0,1
E02002957,0,0,0
E02002958,0,0,0
E02002959,0,0,0
E02002960,0,0,0
E02002961,0,1,0
E02002962,0,0,0
E02002963,0,0,0
E02002964,0,0,0
E02002965,0,0,9
E02002966,0,0,2
E02002967,0,0,0
E02002968,1,0,4
E02002969,1,0,3
E02002970,0,0,0
E02002973,0,0,0
E02002974,0,0,0
E02002975,0,0,0
E02002976,0,0,0
E02002977,3,0,0
E02002978,4,0,0
E02002979,0,0,0
E02002980,0,1,0
E02002981,0,0,0
E02002982,0,0,0
E02002983,0,0,0
E02002984,0,0,0
E02006008,1,0,0
E02006009,1,1,20
E02006010,2,0,0
E02006011,0,0,0
E02006012,4,1,0
E02006013,2,3,0
E02006014,1,0,0
E02006015,0,0,0
E02006016,0,0,5
E02006017,7,1,2
E02006018,0,0,0
E02006019,0,0,0
E02006020,7,11,45
E02006021,2,1,0
E02006022,2,0,7
E02006023,29,6,7
E02006024,0,0,0
E02006025,10,1,1
E02006026,4,0,2
E02006027,4,0,0
E02006028,7,0,0
E02006029,0,0,0
E02006030,0,0,4
E02006031,18,0,7
E02006032,0,0,1
E02006033,6,0,25
E02006034,0,0,0
E02006035,0,1,7
E02006036,0,0,0
E02006037,12,2,8
E02006038,0,0,2
E02006039,0,0,0
E02006040,31,0,6
E02006041,2,0,0
E02006042,12,0,0
E02006043,1,1,0
E02006044,1,4,2
E02006045,0,0,0
E02006046,2,0,1
E02006118,0,0,1
E02006119,0,1,2
E02006120,0,0,0
E02006121,0,0,0
E02006122,0,0,0
E02006123,0,0,0
E02006124,0,0,0
E02006125,0,0,0
E02006126,1,0,0
E02006127,0,0,0
E02006128,0,0,0
E02006129,6,0,1
E02006130,0,0,0
E02006131,35,17,0
E02006132,0,0,0
E02006133,0,0,0
E02006134,1,1,0
E02006135,1,0,0
E02006136,0,3,28
E02006137,1,0,1
E02006138,0,0,0
E02006139,0,0,0
E02006140,0,0,0
E02006141,1,0,20
E02006142,0,0,0
E02006143,1,0,0
E02006144,0,0,0
E02006145,0,0,0
E02006146,0,0,1
E02006147,0,0,0
E02006148,0,0,0
E02006149,0,0,6
E02006150,0,0,7
E02006151,0,0,0
E02006152,0,0,3
E02006153,2,0,11
E02006154,0,0,0
E02006155,0,0,0
E02006156,2,0,3
E02006157,0,0,8
E02006158,0,0,0
E02006159,1,0,0
E02006160,1,0,0
E02006161,0,0,0
E02006162,0,0,0
E02006163,4,0,0
E02006164,0,0,1
E02006165,1,0,1
E02006166,0,0,0
E02006167,0,0,0
E02006168,0,3,7
E02006169,0,0,17
E02006170,0,0,0
E02006171,0,0,0
E02006172,0,0,0
E02006173,0,0,0
E02006174,0,0,1
E02006175,0,0,0
E02006176,0,0,0
E02006177,0,0,0
E02006178,0,0,0
E02006179,8,19,121
E02006180,0,0,0
E02006181,0,0,0
E02006182,0,3,0
E02006185,1,0,0
E02006186,0,3,0
E02006187,2,0,0
E02006188,1,0,0
E02006189,0,7,0
E02006190,1,0,0
E02006191,0,0,0
E02006192,1,0,5
E02006193,0,0,0
E02006194,0,0,0
E02006195,0,0,0
E02006196,0,2,19
E02006197,0,0,0
E02006198,3,0,1
E02006199,0,0,0
E02006200,0,0,0
E02006201,0,0,0
E02006202,0,0,0
E02006203,0,0,0
E02006204,2,0,0
E02006205,0,0,0
E02006206,0,0,0
E02006207,0,0,0
E02006208,1,0,0
E02006209,1,0,0
E02006210,1,0,0
E02006211,0,0,0
E02006212,1,0,0
E02006213,2,0,0
E02006214,0,0,0
E02006215,0,0,0
E02006216,0,0,0
E02006217,0,0,0
E02006218,1,0,2
E02006219,0,0,1
E02006220,0,0,0
E02006221,0,0,0
E02006222,0,0,0
E02006223,0,0,0
E02006224,0,0,0
E02006225,0,0,0
E02006226,0,0,0
E02006468,0,0,0
E02006469,0,0,0
E02006470,2,1,1
E02006471,0,0,0
E02006472,2,1,0
E02006473,0,1,0
E02006474,2,1,5
E02006475,0,0,1
E02006476,0,0,0
E02006477,0,0,0
E02006478,0,1,0
E02006479,0,1,0
E02006480,0,0,0
E02006481,0,0,0
E02006482,0,0,1
E02006483,0,0,4
E02006484,0,0,0
E02006485,1,0,0
E02006486,0,0,0
E02006487,0,0,0
E02006488,1,0,0
E02006489,0,0,0
E02006490,0,0,0
E02006493,0,0,0
E02006494,0,0,2
E02006495,0,0,0
E02006496,0,0,2
E02006497,0,0,0
E02006498,0,0,0
E02006499,0,0,0
E02006500,2,1,6
E02006501,0,0,0
E02006502,0,0,0
E02006503,0,0,1
E02006504,0,0,0
E02006505,0,0,1
E02006506,4,0,2
E02006507,0,0,0
E02006508,0,0,0
E02006509,0,0,0
E02006510,4,1,0
E02006511,3,0,1
E02006512,0,0,1
E02006513,1,0,1
E02006514,2,0,0
E02006515,0,0,0
E02006516,7,3,0
E02006517,2,0,2
E02006518,0,0,0
E02006519,0,0,0
E02006520,0,0,0
E02006521,0,0,2
E02006522,0,0,2
E02006523,23,14,25
E02006524,0,0,0
E02006525,1,3,5
E02006526,0,0,0
E02006527,2,2,1
E02006528,4,0,4
E02006529,4,0,14
E02006530,12,3,0
E02006531,0,0,4
E02006532,0,0,0
E02006533,0,0,1
E02006696,0,0,0
E02006697,0,0,3
