msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001986,0,11,6,8,14,10,13,5
E02001987,0,0,0,0,0,0,0,0
E02001988,3,1916,279,37,26,8,8,4
E02001989,0,28,7,0,0,0,0,1
E02001990,0,0,0,0,0,0,11,12
E02001991,0,12,5,2,0,6,8,20
E02001992,0,0,0,0,1,0,2,2
E02001993,0,158,21,3,1,5,3,3
E02001994,0,0,0,1,1,0,0,0
E02001995,0,0,0,0,2,5,10,11
E02001996,0,0,0,2,6,2,0,1
E02001997,0,0,0,0,0,0,0,0
E02001998,0,0,0,0,0,0,0,0
E02001999,1,1445,73,7,3,4,5,1
E02002000,0,0,0,1,13,1,0,1
E02002001,0,0,0,0,0,0,0,0
E02002002,0,0,0,0,0,5,3,7
E02002003,0,2,3,1,4,3,8,7
E02002004,0,0,0,0,1,0,3,0
E02002005,0,0,0,3,2,6,4,2
E02002006,0,0,0,0,0,0,0,0
E02002007,0,0,0,0,4,1,1,0
E02002008,0,4,3,2,1,5,6,15
E02002009,0,0,0,0,0,0,0,0
E02002010,0,0,0,1,1,5,17,6
E02002011,0,0,0,0,2,1,1,3
E02002012,0,0,5,11,8,13,11,12
E02002013,0,0,1,1,5,8,13,9
E02002014,0,4,1,10,14,1,1,0
E02002015,0,0,0,0,3,0,4,6
E02002016,0,0,0,0,10,8,7,6
E02002017,0,0,2,2,2,4,10,3
E02002018,0,0,0,0,0,1,4,5
E02002019,0,0,0,0,0,0,0,0
E02002020,0,0,0,0,2,2,7,9
E02002021,0,0,0,0,0,1,8,10
E02002022,0,0,0,0,8,7,9,1
E02002023,0,0,0,0,0,0,0,0
E02002024,0,0,0,0,0,1,4,4
E02002025,0,0,0,2,3,3,3,0
E02002026,0,0,0,0,0,0,0,0
E02002027,0,0,2,0,0,0,0,0
E02002028,0,0,0,0,0,0,2,5
E02002029,0,0,0,0,0,0,5,8
E02002030,0,0,0,0,1,3,1,2
E02002031,0,0,0,0,4,1,0,0
E02002032,0,0,0,0,0,1,0,3
E02002033,2,2,0,2,2,0,0,0
E02002034,0,0,0,2,2,0,3,4
E02002035,0,1,0,3,0,0,3,4
E02002036,0,0,0,0,0,0,0,0
E02002037,0,0,0,0,0,0,0,0
E02002038,0,0,1,1,9,8,3,0
E02002039,100,49,11,15,7,1,3,6
E02002040,0,0,0,1,0,1,1,2
E02002041,0,0,0,0,0,0,0,3
E02002042,3,0,0,3,0,4,6,2
E02002043,0,4,12,8,8,12,9,8
E02002044,0,0,0,0,0,0,0,0
E02002045,0,0,0,0,0,0,0,0
E02002046,0,0,0,0,0,0,0,0
E02002047,0,2,5,11,17,8,10,13
E02002048,0,0,0,0,0,0,0,0
E02002049,0,0,0,0,0,0,0,0
E02002051,0,0,2,2,11,5,1,0
E02002052,0,3,5,15,10,0,10,17
E02002053,0,1,0,0,1,0,0,0
E02002054,0,0,0,2,5,0,0,0
E02002055,0,3,0,0,0,0,0,0
E02002056,0,0,0,1,3,3,6,5
E02002057,0,0,0,0,0,3,3,11
E02002058,0,0,5,13,18,10,8,10
E02002059,0,3,10,7,11,4,6,10
E02002060,0,0,1,11,4,6,1,0
E02002061,48,6,0,0,2,0,1,0
E02002062,0,3,1,8,18,3,14,4
E02002063,0,0,0,0,0,3,6,7
E02002064,0,0,3,0,5,9,13,8
E02002065,0,0,10,6,4,7,8,3
E02002066,0,0,0,2,13,5,1,0
E02002067,0,0,0,0,0,0,2,5
E02002069,0,0,0,0,0,0,0,0
E02002070,0,1,4,1,11,20,24,5
E02002071,0,0,0,0,0,0,0,0
E02002072,0,6,12,8,17,3,1,0
E02002073,0,0,0,0,0,3,3,6
E02002074,0,0,0,5,6,4,2,3
E02002075,0,0,0,1,19,7,2,5
E02002076,0,0,0,0,0,0,0,0
E02002077,0,0,0,1,0,2,11,5
E02002078,1,0,0,0,0,1,0,0
E02002079,0,0,0,0,1,0,1,0
E02002080,0,0,2,4,2,0,7,5
E02002081,0,4,1,3,0,1,2,0
E02002082,0,0,1,1,0,0,0,0
E02002083,0,0,0,0,3,0,0,0
E02002084,0,0,1,1,8,3,0,0
E02002085,0,0,0,0,0,0,0,0
E02002086,0,0,2,1,8,3,8,3
E02002087,0,0,0,0,0,0,0,0
E02002088,0,0,0,1,3,2,10,7
E02002089,1,5,13,25,17,8,5,3
E02002090,0,0,0,0,0,0,0,0
E02002091,0,0,0,0,0,0,0,0
E02002092,0,0,0,0,0,2,7,5
E02002093,0,2,10,12,12,2,4,7
E02002094,0,0,0,3,5,5,7,7
E02002095,0,0,0,0,0,1,1,0
E02002096,0,1,0,3,3,3,11,16
E02002097,0,1,9,11,6,0,0,0
E02002098,0,0,0,0,0,4,0,4
E02002099,0,0,0,0,0,0,3,17
