area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00120499,23,27,18,16,12,14,20,20,28,31,33,25,23,12,1,11,5,6
E00120500,23,16,5,7,7,22,36,32,22,21,18,7,13,13,9,4,2,0
E00120501,15,13,13,7,6,12,19,23,22,21,12,13,13,10,10,7,9,7
E00120503,16,38,22,19,13,14,8,12,29,28,24,24,18,15,26,30,19,12
E00120504,23,19,26,16,9,9,9,17,17,28,27,27,8,18,31,27,16,23
E00120505,19,20,27,23,14,14,16,14,26,27,34,34,21,14,23,17,5,9
E00120506,12,23,24,26,18,15,17,16,23,36,33,31,23,24,28,16,5,8
E00120507,14,20,21,14,16,15,15,16,21,22,21,22,22,23,25,12,12,20
E00120508,11,15,28,25,22,16,8,13,25,29,36,32,23,25,22,13,4,10
E00120509,20,16,23,11,22,16,12,23,26,23,24,32,25,14,10,19,9,11
E00120510,24,21,16,8,9,9,18,26,25,27,11,21,9,11,17,11,6,4
E00120511,7,5,12,4,9,13,6,14,18,14,19,23,20,14,14,16,15,13
E00120512,2,3,8,12,12,6,6,4,8,12,22,26,17,13,15,23,21,41
E00120513,10,15,7,12,12,21,19,15,20,21,24,35,18,22,23,22,15,12
E00120514,16,13,15,9,13,17,20,13,18,18,22,29,24,19,12,11,6,14
E00120515,9,14,14,10,12,11,10,18,23,7,23,25,35,30,29,28,18,10
E00120516,11,12,8,11,13,7,10,10,15,12,21,22,32,25,22,12,23,12
E00120517,10,15,20,16,12,12,9,7,19,8,27,17,27,19,38,10,14,16
E00120518,13,36,32,30,13,17,26,16,25,49,26,28,28,22,18,21,12,10
E00120519,17,15,20,18,19,11,11,20,18,22,31,24,23,23,36,13,14,13
E00120520,12,18,14,24,16,14,11,16,14,21,25,32,36,16,23,20,16,15
E00120521,25,21,28,19,17,6,20,16,16,25,20,17,17,26,19,24,17,18
E00120522,19,15,17,15,17,13,18,23,20,12,24,28,32,32,17,15,4,10
E00120523,6,22,43,27,18,14,6,8,34,28,35,27,31,27,20,9,11,8
E00120524,23,25,20,21,23,13,15,17,17,34,26,25,20,13,15,7,3,2
E00120525,22,28,39,32,21,10,6,17,37,41,36,27,15,15,16,6,4,2
E00120526,6,16,11,10,5,3,8,10,12,7,18,18,15,12,10,12,6,3
E00120527,18,21,17,5,19,21,25,19,32,16,21,18,11,11,14,13,11,4
E00120528,21,19,24,15,4,8,6,16,15,23,25,25,35,27,21,17,19,11
E00120529,17,16,19,13,6,11,15,26,31,23,21,15,14,13,6,8,2,7
E00120530,5,12,3,4,8,8,12,15,12,10,6,16,11,7,3,11,8,24
E00120531,12,12,11,13,14,23,18,23,17,23,13,16,15,6,8,5,5,6
E00120532,13,17,25,12,13,18,20,28,21,20,25,22,20,16,16,4,5,7
E00120533,14,18,17,10,12,6,11,9,22,22,19,19,21,25,13,24,12,8
E00120534,15,27,28,19,19,12,25,16,19,35,26,32,20,13,16,11,6,5
E00120535,18,20,19,11,14,16,9,16,16,22,26,20,29,13,17,28,17,46
E00120536,19,19,25,15,15,13,15,19,10,23,33,18,14,15,14,19,13,6
E00120537,24,23,16,4,7,16,20,19,24,22,15,17,13,10,8,12,6,26
E00120538,5,7,5,6,6,25,19,13,20,15,16,10,12,11,6,4,3,5
E00120539,17,20,8,4,10,43,32,31,23,23,13,14,16,6,6,3,3,0
E00120540,18,14,19,13,10,22,25,11,16,21,26,21,13,10,16,8,3,8
E00120541,25,19,14,12,6,9,24,27,24,22,29,25,21,18,8,9,4,3
E00120542,25,21,18,16,7,6,14,36,20,19,24,22,21,19,18,4,14,5
E00120543,41,38,26,16,8,11,29,41,38,37,19,11,13,12,8,13,2,3
E00120544,30,23,19,10,7,13,23,26,36,29,22,16,24,10,11,5,7,3
E00120545,19,15,17,8,24,51,44,28,28,37,25,20,16,11,15,3,4,7
E00120546,40,39,38,43,32,39,28,51,32,33,31,19,14,13,15,4,14,2
E00120547,24,25,30,22,17,12,22,24,23,34,25,31,18,7,4,11,6,4
