Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RRVNQ,National Hospital For Neurology & Neurosurgery,NHS TRUST SITE,WC1N3BG,RRV,51.522171,-0.122001,E02000193
RQY42,Nelson Hospital,NHS TRUST SITE,SW208DA,RQY,51.40983,-0.2102,E02000699
RAX58,New Victoria Hospital,NHS TRUST SITE,KT27EG,RAX,51.415694,-0.254289,E02000599
R1HNH,Newham General Hospital,NHS TRUST SITE,E138SL,R1H,51.522776,0.034717,E02000741
R1H0A,Nhs Nightingale Hospital London,NHS TRUST SITE,E161XL,R1H,51.508134,0.028646,E02000749
RRP36,North Middlesex Hospital,NHS TRUST SITE,N181QX,RRP,51.613094,-0.07375,E02006793
RAJ1W,Old Church Hospital,NHS TRUST SITE,RM79BH,RAJ,51.574857,0.177911,E02000476
RQY54,Old Hospital Close,NHS TRUST SITE,SW128SR,RQY,51.442821,-0.163449,E02000951
RJ130,Orpington Hospital,NHS TRUST SITE,BR69JU,RJ1,51.362502,0.09515,E02000161
RAX59,Parkside Hospital,NHS TRUST SITE,SW195NX,RAX,51.435762,-0.223584,E02000690
RKL34,Penny Sangham Day Hospital,NHS TRUST SITE,UB24EU,RKL,51.503043,-0.379996,E02000275
RJ132,Princess Royal University Hospital,NHS TRUST SITE,BR68ND,RJ1,51.366243,0.059146,E02000162
RF4PH,Private Hospitals,NHS TRUST SITE,RM30PU,RF4,51.591379,0.233133,E02000470
Z3M8V,Purley Hospital,NHS TRUST SITE,CR82YL,RJ6,51.34074,-0.114466,E02000230
RJ231,Queen Elizabeth Hospital,NHS TRUST SITE,SE184QH,RJ2,51.478193,0.050043,E02000327
RJ230,Queen Marys Hospital,NHS TRUST SITE,DA146LT,RJ2,51.419041,0.101687,E02000091
RVRA2,"Queen Marys Hospital, Roehampton",NHS TRUST SITE,SW155PN,RVR,51.45555,-0.241729,E02000938
RATQH,Queens Hospital,NHS TRUST SITE,RM70AG,RAT,51.568647,0.179031,E02000480
RAX60,Ravenscourt Park Hospital,NHS TRUST SITE,W60TN,RAX,51.496407,-0.241454,E02000379
RDERD,Roding Hospital,NHS TRUST SITE,IG45PZ,RDE,51.587154,0.043064,E02006925
RV3A3,Roundwood Day Hospital,NHS TRUST SITE,NW102HH,RV3,51.544717,-0.236838,E02000116
RV355,Roxbourne Hospital,NHS TRUST SITE,HA20UE,RV3,51.56732,-0.363104,E02000460
A5Q7N,Royal Brompton Hospital,NHS TRUST SITE,SW36NP,RJ1,51.489743,-0.170855,E02000595
RP420,Royal Free Hospital,NHS TRUST SITE,NW32QG,RP4,51.553224,-0.165324,E02000173
RVRD9,Royal Marsden Hospital,NHS TRUST SITE,SM25PT,RVR,51.343477,-0.191089,E02000861
RRVP5,Royal National Ent And Eastman Dental Hospitals,NHS TRUST SITE,WC1E6DG,RRV,51.521683,-0.133542,E02000191
RAN02,Royal National Orthopaedic Hospital,NHS TRUST SITE,W1W5AQ,RAN,51.52331,-0.143289,E02000972
RAL16,"Royal National Throat, Nose & Ear Hospital",NHS TRUST SITE,WC1X8DA,RAL,51.529203,-0.119189,E02007115
RYJ06,Samaritan Hospital For Women,NHS TRUST SITE,NW15JD,RYJ,51.522838,-0.151539,E02000970
N8M6D,Schoen Hospital London,NHS TRUST SITE,W1U2SB,R1L,51.516582,-0.150005,E02000970
RVRJ5,Shirley Oaks Hospital,NHS TRUST SITE,CR98AB,RVR,51.382299,-0.056352,E02000211
RQY01,Springfield University Hospital,NHS TRUST SITE,SW177DJ,RQY,51.437358,-0.172348,E02000949
RAX61,St. Anthonys Hospital,NHS TRUST SITE,SM39DW,RAX,51.37992,-0.220794,E02000847
RQX42,St. Bartholomews Hospital,NHS TRUST SITE,EC1A9DS,RQX,51.518602,-0.100127,E02000001
RV320,St. Charles Hospital,NHS TRUST SITE,W106DZ,RV3,51.522362,-0.217218,E02000578
RQX43,St. Clements Hospital,NHS TRUST SITE,E16LP,RQX,51.516339,-0.072273,E02000878
U1K7X,St. Georges University Hospitals Nhs Ft Clinical Research Facility,NHS TRUST SITE,SW170RE,RJ7,51.427798,-0.175228,E02000956
RVR05,St. Helier Hospital,NHS TRUST SITE,SM51AA,RVR,51.380188,-0.183708,E02000841
RV3CP,St. Marys Hospital,NHS TRUST SITE,W21NY,RV3,51.516969,-0.173569,E02000974
RALC8,St. Michaels Hospital,NHS TRUST SITE,EN20JB,RAL,51.662127,-0.084383,E02000284
RV3DY,St. Pancras Hospital,NHS TRUST SITE,NW10PE,RV3,51.53665,-0.131658,E02000184
RJ122,St. Thomas Hospital,NHS TRUST SITE,SE17EH,RJ1,51.497959,-0.118905,E02006801
RP405,St.. Bartholomews Hospital,NHS TRUST SITE,EC1A7BE,RP4,51.51775,-0.100404,E02000001
A3J3M,St..Anns Hospital,NHS TRUST SITE,N153TH,RKE,51.580625,-0.092097,E02000423
RQY46,Surbiton Hospital,NHS TRUST SITE,KT66EZ,RQY,51.390825,-0.299929,E02000610
RVR06,Sutton Hospital,NHS TRUST SITE,SM25NF,RVR,51.345455,-0.191069,E02000861
RQY78,Teddington Memorial Hospital,NHS TRUST SITE,TW110LR,RQY,51.425036,-0.340266,E02000804
RV346,The Gordon Hospital,NHS TRUST SITE,SW1V2RH,RV3,51.492338,-0.135789,E02000980
A2K4Z,The Italian Hospital,NHS TRUST SITE,WC1N3AJ,RP4,51.520916,-0.121664,E02000193
RF4TK,The Kings Oak Private Hospital,NHS TRUST SITE,EN28SD,RF4,51.667899,-0.105568,E02000286
R1H83,The London Chest Hospital,NHS TRUST SITE,E29JX,R1H,51.532184,-0.049499,E02000865
RP415,The Royal London Hospital,NHS TRUST SITE,E11BB,RP4,51.519019,-0.058106,E02000880
RRV60,The Royal London Hospital For Integrated Medicine,NHS TRUST SITE,WC1N3HR,RRV,51.521739,-0.121399,E02000193
RPY03,The Royal Marsden Hospital,NHS TRUST SITE,KT27QB,RPY,51.414826,-0.282601,E02000600
RPY01,The Royal Marsden Hospital,NHS TRUST SITE,SW36JJ,RPY,51.490561,-0.172565,E02000595
RAN01,The Royal National Orthopaedic Hospital,NHS TRUST SITE,HA74LP,RAN,51.632566,-0.310435,E02000433
RPA84,The Sloane Hospital,NHS TRUST SITE,BR35HS,RPA,51.408332,-0.00436,E02000138
