area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00104684,3,13,9,7,6,4,11,13,6,10,12,13,12,12,14,4,3,4
E00104685,24,28,33,14,9,14,21,33,18,32,31,36,27,32,25,18,6,3
E00104686,25,34,31,19,23,31,26,32,27,43,43,43,38,37,30,19,19,12
E00104687,4,23,36,17,12,11,19,10,22,17,17,13,13,23,15,8,7,5
E00104688,16,22,25,13,14,13,20,19,11,10,17,12,14,16,14,14,5,2
E00104689,8,13,14,19,4,11,10,26,20,22,20,20,22,21,34,21,12,11
E00104690,16,16,18,16,20,15,17,18,17,17,20,21,13,9,10,2,2,5
E00104691,7,8,8,7,7,16,22,20,15,13,17,16,16,16,10,7,2,5
E00104692,17,17,18,13,14,14,23,11,16,20,19,24,18,26,12,20,13,11
E00104693,21,11,16,11,12,29,42,22,18,25,20,20,11,20,13,14,10,3
E00104694,18,18,26,9,15,25,24,19,19,20,19,19,18,18,7,14,8,4
E00104695,14,15,26,9,13,16,18,15,13,16,21,24,13,18,19,15,6,6
E00104696,20,20,21,6,9,12,18,20,23,16,19,28,31,22,13,10,7,3
E00104697,25,19,25,15,15,21,19,17,18,18,30,18,14,13,15,16,6,4
E00104698,13,27,16,23,15,11,8,22,29,32,34,29,27,13,13,5,4,4
E00104699,14,18,14,13,23,21,20,17,20,20,19,23,17,13,9,14,10,4
E00104700,8,13,10,6,3,16,16,14,12,17,28,16,13,11,12,11,5,7
E00104701,12,19,15,9,16,7,15,16,21,20,19,21,22,21,23,21,10,10
E00104702,8,11,16,14,10,8,4,13,18,14,21,20,26,19,15,17,13,5
E00104703,1,10,18,8,9,11,4,13,12,16,25,20,46,26,43,30,25,19
E00104704,9,14,13,12,20,17,13,13,13,28,20,23,21,18,21,24,29,9
E00104705,8,15,13,17,20,14,15,13,20,17,23,24,16,19,8,7,13,6
E00104706,6,11,15,20,17,8,11,6,16,21,35,25,23,29,31,27,16,7
E00104707,20,23,31,24,20,14,20,26,32,24,32,33,25,14,18,30,7,8
