msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02001769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001770,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,6
E02001771,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001772,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001774,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02001775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001776,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001778,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
E02001779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02001780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001782,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
E02001783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001784,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
E02001785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001786,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001792,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11
E02001793,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
E02001794,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02001795,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,6
E02001796,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,10
E02001797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
