Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-327105808,2011-11-01,Y,Lumley Residential Home,North East,County Durham,Hall Lane,Crook,DL15 0PW,54.709707,-1.693347,North West Durham,"Goldstein, Alan",,,Y,,Y,Y,,Y,,,Y,3,3,E06000047,E02004351,E00106083,40,27.0,68.0,0.8038,2.0,5.0,0.14244
1-327106234,2011-11-01,Y,Richmond Court,North East,County Durham,Hall Lane,Crook,DL15 0PW,54.709707,-1.693347,North West Durham,"Goldstein, Alan",Y,Y,,,Y,Y,Y,Y,Y,,Y,3,3,E06000047,E02004351,E00106083,49,45.0,93.0,0.91883,3.0,5.8913,0.04574
1-327497858,2011-11-01,Y,Aycliffe Care Home,North East,County Durham,Burnhope,Newton Aycliffe,DL5 7ER,54.622924,-1.593022,Sedgefield,"Harkin, Karen",Y,Y,,,Y,,,Y,,,Y,4,4,E06000047,E02004341,E00105632,54,45.0,84.0,0.89112,10.0,18.9079,0.08768
1-327617059,2011-11-01,Y,Westerleigh,North East,County Durham,Scott Street,Stanley,DH9 8AD,54.869939,-1.701373,North Durham,"Harkin, Karen",,,Y,,Y,,,Y,,,Y,5,5,E06000047,E02004299,E00104839,55,49.0,89.0,0.81536,4.0,6.6058,0.17258
1-3489600993,2017-02-17,Y,Grampian Court,North East,County Durham,Grampian Drive,Peterlee,SR8 2LR,54.756792,-1.353162,Easington,"Hall, Antony",,,Y,,Y,,Y,Y,Y,Y,,2,2,E06000047,E02004328,E00105393,57,50.0,88.0,0.93356,8.0,14.8865,0.01734
1-357341625,2012-01-10,Y,Kingsway Nursing Home,North East,County Durham,Kingsway,Durham,DH7 9TB,54.798078,-1.668197,North West Durham,"Cash, Mark",Y,Y,,,Y,Y,Y,Y,Y,Y,Y,3,3,E06000047,E02004307,E00104827,42,38.0,91.0,0.91044,3.0,7.2739,0.05763
1-3745844012,2017-05-17,Y,Pelton Grange Care Home,North East,County Durham,Front Street,Chester Le Street,DH2 1DD,54.872168,-1.609742,North Durham,"Vernon, Mandy",,,Y,,,,,Y,Y,,,5,5,E06000047,E02004291,E00104592,47,29.0,62.0,0.93867,14.0,30.7739,0.04514
1-3745999343,2017-05-17,Y,Bannatyne Lodge,North East,County Durham,Bannatyne Care Home,Peterlee,SR8 5SB,54.75648,-1.330419,Easington,"Vernon, Mandy",Y,Y,,,,,,Y,Y,,Y,4,4,E06000047,E02004325,E00105267,50,35.0,70.0,0.8521,5.0,10.9545,0.10506
1-416352892,2012-05-09,Y,River View,North East,County Durham,4 Shotley Grove Road,Consett,DH8 8SF,54.861777,-1.868307,North West Durham,"Reidy, John",,,Y,,,Y,,,,,,3,3,E06000047,E02004305,E00104681,3,3.0,89.0,0.98459,1.0,19.245,0.01572
1-4325233735,2017-09-30,Y,Parklands Care Home,North East,County Durham,New Road,Crook,DL15 8LN,54.711605,-1.744827,North West Durham,"Chopra, Tarsem",,,Y,,Y,,,Y,,,,2,2,E06000047,E02004350,E00105974,42,34.0,80.0,0.93891,4.0,8.4179,0.0531
