Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Deerbolt,*,157,114,*,*,*,*,*,*,E00183312,E02007022
Durham,*,60,98,178,348,172,59,17,9,E00171869,E02004314
Frankland,*,*,51,73,252,150,163,88,42,E00183299,E02004308
Holme House,*,16,99,211,432,232,105,39,17,E00174165,E02002544
Kirklevington Grange,*,*,13,14,61,51,27,11,*,E00174174,E02002558
Low Newton,*,5,17,25,113,59,21,9,*,E00183266,E02004308
Northumberland,*,*,90,233,493,252,135,81,36,E00190044,E02005720
