Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Deerbolt,24,42,*,*,190,*,*,E00183312,E02007022
Durham,47,25,22,15,832,*,*,E00171869,E02004314
Frankland,53,81,21,3,657,1,3,E00183299,E02004308
Holme House,26,16,18,3,1088,*,*,E00174165,E02002544
Kirklevington Grange,8,*,*,*,165,*,*,E00174174,E02002558
Low Newton,3,3,12,*,231,*,*,E00183266,E02004308
Northumberland,31,14,10,6,1258,1,*,E00190044,E02005720
