msoa,Ethnicity,Total,0-15,16-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-99
E02000001,Asian,699,43,22,55,100,122,118,65,48,32,28,14,21,31
E02000001,Black,116,16,6,4,2,10,9,4,9,12,19,14,4,7
E02000001,Mixed,242,61,15,4,30,37,24,17,15,18,7,8,1,5
E02000001,Other,264,20,9,3,32,30,30,43,11,24,21,7,20,14
E02000001,White,3391,156,35,55,188,451,357,293,244,261,323,249,238,541
E02000002,Asian,875,266,45,20,30,52,83,87,75,88,43,23,23,40
E02000002,Black,775,300,75,13,28,38,46,40,41,44,53,30,25,42
E02000002,Mixed,210,123,20,6,14,9,6,4,10,4,6,3,1,4
E02000002,Other,115,28,7,1,5,10,6,10,12,12,10,3,3,8
E02000002,White,1942,414,104,37,63,115,176,131,128,124,109,120,113,308
E02000003,Asian,2055,661,110,40,68,109,168,231,221,146,90,68,52,91
E02000003,Black,841,196,77,21,39,91,40,44,45,32,77,59,69,51
E02000003,Mixed,257,128,32,8,12,17,12,15,6,5,6,8,5,3
E02000003,Other,260,56,13,6,9,13,21,29,28,21,11,11,16,26
E02000003,White,2298,392,94,31,121,198,226,145,121,140,162,156,138,374
E02000004,Asian,512,140,27,9,21,41,48,58,50,39,23,14,19,23
E02000004,Black,451,124,26,11,25,41,29,29,41,20,29,28,29,19
E02000004,Mixed,126,63,12,4,6,9,16,7,1,4,1,2,0,1
E02000004,Other,116,32,8,2,5,14,10,11,11,5,3,6,5,4
E02000004,White,2045,312,94,38,94,156,147,137,132,127,157,145,137,369
E02000005,Asian,1680,579,83,29,46,81,122,197,249,109,67,49,31,38
E02000005,Black,921,288,78,27,39,60,42,53,48,58,88,66,41,33
E02000005,Mixed,256,156,23,5,13,9,10,9,6,6,8,7,0,4
E02000005,Other,207,64,4,2,7,11,25,24,17,17,14,13,3,6
E02000005,White,2334,473,134,52,89,178,172,174,165,154,178,141,113,311
E02000007,Asian,745,228,36,16,21,49,100,90,69,49,34,21,11,21
E02000007,Black,1225,393,106,37,60,84,61,45,109,81,87,83,43,36
E02000007,Mixed,202,124,18,4,12,9,10,10,6,3,3,1,2,0
E02000007,Other,183,60,9,5,8,13,19,16,14,12,12,4,4,7
E02000007,White,2460,536,117,59,112,155,177,174,152,164,153,158,129,374
E02000008,Asian,1259,422,71,17,46,80,108,145,128,105,60,30,21,26
E02000008,Black,1170,359,90,32,64,58,49,73,68,79,107,93,50,48
E02000008,Mixed,257,152,25,6,10,17,12,9,8,7,3,3,2,3
E02000008,Other,213,64,10,4,8,15,12,25,25,14,15,9,4,8
E02000008,White,3490,712,182,80,144,200,259,280,234,264,263,280,181,411
E02000009,Asian,1576,501,88,31,51,83,164,184,159,123,74,50,30,38
E02000009,Black,1350,376,186,38,69,98,63,38,102,76,108,114,44,38
E02000009,Mixed,298,179,24,12,12,23,12,10,8,8,2,3,3,2
E02000009,Other,246,86,9,4,10,19,22,23,13,13,22,10,5,10
E02000009,White,2832,641,111,48,134,217,225,240,211,186,178,181,126,334
E02000010,Asian,723,231,36,12,23,54,52,85,85,34,44,27,17,23
E02000010,Black,875,279,61,17,39,45,40,67,43,98,68,58,34,26
E02000010,Mixed,172,97,13,7,8,13,6,8,3,4,5,4,3,1
E02000010,Other,146,39,14,2,2,9,13,13,8,12,10,8,11,5
E02000010,White,2591,569,126,54,118,185,191,205,175,164,204,163,136,301
E02000011,Asian,778,216,64,18,40,51,57,84,64,56,46,36,19,27
E02000011,Black,650,205,45,21,25,44,30,33,28,41,58,65,24,31
E02000011,Mixed,102,56,9,1,5,5,7,2,5,5,3,0,1,3
E02000011,Other,120,25,8,2,3,10,15,15,11,15,7,2,2,5
E02000011,White,1776,299,63,32,65,121,137,151,109,102,140,107,103,347
E02000012,Asian,3401,903,249,138,179,314,257,244,270,267,215,132,99,134
E02000012,Black,495,102,34,12,37,41,20,19,40,35,36,50,29,40
E02000012,Mixed,194,114,8,4,21,10,12,3,6,4,6,4,1,1
E02000012,Other,192,44,17,6,6,11,21,11,13,13,10,14,7,19
E02000012,White,1456,184,51,27,53,113,106,111,94,76,108,106,121,306
E02000013,Asian,786,235,47,14,27,60,64,86,80,67,38,36,17,15
E02000013,Black,916,325,69,25,51,49,31,34,58,84,72,53,34,31
E02000013,Mixed,201,128,20,2,5,12,10,8,0,6,3,1,4,2
E02000013,Other,82,25,2,3,4,5,6,5,10,11,5,3,2,1
E02000013,White,2548,542,134,63,84,187,184,207,190,156,161,135,126,379
E02000014,Asian,757,237,46,15,13,60,72,76,70,79,35,24,9,21
E02000014,Black,855,302,63,21,27,50,37,49,51,71,64,54,31,35
E02000014,Mixed,163,85,22,3,7,5,6,11,2,8,4,5,2,3
E02000014,Other,121,20,8,3,5,14,11,9,11,9,9,9,9,4
E02000014,White,2844,604,148,60,109,196,226,235,176,189,200,171,147,383
E02000015,Asian,576,186,26,9,18,33,64,69,52,41,26,19,13,20
E02000015,Black,1166,405,92,20,45,84,57,61,71,87,87,64,53,40
E02000015,Mixed,197,118,14,6,11,13,15,2,3,8,3,2,2,0
E02000015,Other,103,33,2,7,4,8,7,7,3,14,6,5,4,3
E02000015,White,1904,369,78,40,63,139,168,146,119,126,149,127,111,269
E02000016,Asian,1980,624,69,16,55,114,256,301,227,100,88,56,27,47
E02000016,Black,1299,423,110,34,51,69,85,86,77,82,111,83,53,35
E02000016,Mixed,292,187,15,2,11,16,25,12,10,8,2,2,2,0
E02000016,Other,231,68,12,7,6,25,18,27,9,14,15,10,6,14
E02000016,White,1422,243,55,25,54,151,167,146,111,146,90,76,88,70
E02000017,Asian,2287,605,139,59,89,140,183,256,191,163,129,85,94,154
E02000017,Black,575,113,54,16,27,37,34,77,47,53,38,29,30,20
E02000017,Mixed,172,59,6,17,9,9,5,7,8,3,40,4,1,4
E02000017,Other,207,37,11,8,11,14,14,16,22,20,15,16,7,16
E02000017,White,1470,209,50,21,66,127,196,150,113,131,92,88,86,141
E02000018,Asian,966,332,46,24,32,51,97,111,112,63,37,17,28,16
E02000018,Black,913,320,80,23,59,47,50,43,47,67,65,54,40,18
E02000018,Mixed,190,120,12,8,6,4,7,7,8,3,6,7,2,0
E02000018,Other,142,42,9,6,5,9,10,5,17,10,9,9,4,7
E02000018,White,2438,529,101,60,101,170,192,190,196,165,168,144,121,301
E02000019,Asian,857,262,38,48,22,35,72,92,101,66,78,15,14,14
E02000019,Black,1035,375,96,27,37,48,50,59,54,60,103,55,41,30
E02000019,Mixed,212,127,19,2,7,16,16,8,4,3,8,0,2,0
E02000019,Other,127,35,7,3,2,15,11,13,9,10,7,7,3,5
E02000019,White,2424,606,104,63,77,170,168,180,166,137,158,154,111,330
E02000020,Asian,2236,656,128,42,61,154,229,296,197,162,115,69,52,75
E02000020,Black,1630,525,167,27,72,98,86,130,116,128,113,85,45,38
E02000020,Mixed,314,193,18,6,10,17,16,11,26,6,1,2,4,4
E02000020,Other,299,91,17,4,7,22,24,28,29,22,19,19,9,8
E02000020,White,2466,492,92,41,95,198,251,204,214,190,165,144,107,273
E02000021,Asian,836,308,32,24,33,41,68,80,71,62,37,23,26,31
E02000021,Black,1181,450,83,27,55,51,52,46,66,90,105,72,48,36
E02000021,Mixed,190,116,12,5,11,7,13,8,4,4,7,2,1,0
E02000021,Other,152,30,7,6,4,7,14,12,22,14,13,5,4,14
E02000021,White,1907,379,74,25,64,144,154,137,114,146,149,134,110,277
E02000022,Asian,1003,322,73,16,25,74,108,140,111,68,28,18,8,12
E02000022,Black,1218,476,84,27,37,65,83,62,87,97,81,50,39,30
E02000022,Mixed,186,94,9,4,5,7,19,12,12,5,10,2,3,4
E02000022,Other,201,55,16,5,7,15,17,17,13,15,16,8,6,11
E02000022,White,1174,268,58,22,35,95,114,179,94,75,67,53,32,82
E02000023,Asian,849,272,40,25,27,57,89,84,93,58,34,21,18,31
E02000023,Black,1390,509,102,33,57,69,53,83,93,115,117,82,48,29
E02000023,Mixed,220,131,22,7,6,9,12,9,5,4,7,7,1,0
E02000023,Other,131,38,13,2,4,10,12,10,5,8,8,9,5,7
E02000023,White,1250,291,74,23,40,82,107,99,138,76,79,61,75,105
E02000024,Asian,588,139,21,7,18,30,49,48,56,68,37,24,25,66
E02000024,Black,243,60,25,7,19,18,11,11,14,16,21,20,9,12
E02000024,Mixed,282,145,19,3,22,17,14,17,8,8,10,8,6,5
E02000024,Other,251,33,20,11,8,25,14,20,13,13,21,21,11,41
E02000024,White,3852,628,124,52,124,183,217,241,299,287,284,312,259,842
E02000025,Asian,440,104,23,7,12,22,34,43,45,46,22,18,17,47
E02000025,Black,225,92,9,2,11,9,18,11,6,16,9,20,6,16
E02000025,Mixed,262,123,12,3,17,37,15,18,8,6,5,4,8,6
E02000025,Other,219,42,12,4,3,16,21,20,14,20,16,22,10,19
E02000025,White,2937,486,87,33,93,163,185,258,203,210,244,247,210,518
E02000026,Asian,406,74,13,3,7,23,32,31,28,34,18,29,37,77
E02000026,Black,126,33,11,3,8,5,7,9,8,6,14,8,7,7
E02000026,Mixed,157,75,15,4,10,5,13,5,9,4,4,7,2,4
E02000026,Other,259,48,11,4,11,8,13,25,26,22,19,20,15,37
E02000026,White,2183,404,80,32,76,139,143,119,140,138,154,156,153,449
E02000027,Asian,731,163,42,16,20,44,49,61,57,79,54,38,35,73
E02000027,Black,472,131,44,18,37,29,17,23,49,23,41,24,17,19
E02000027,Mixed,312,155,22,10,22,23,12,36,10,7,3,4,2,6
E02000027,Other,285,62,20,14,14,19,18,13,27,15,22,20,21,20
E02000027,White,2811,542,128,49,77,153,174,177,202,169,226,217,162,535
E02000028,Asian,520,107,18,6,25,29,41,41,53,43,39,31,31,56
E02000028,Black,193,45,10,6,9,15,13,19,15,14,22,11,9,5
E02000028,Mixed,161,60,22,4,5,11,14,7,9,6,9,11,1,2
E02000028,Other,215,47,19,3,6,7,19,31,20,10,9,18,7,19
E02000028,White,2106,359,67,22,78,136,118,147,155,132,177,160,133,422
E02000029,Asian,577,121,25,10,20,23,41,44,51,52,70,26,32,62
E02000029,Black,263,80,11,15,8,17,20,27,19,15,19,9,11,12
E02000029,Mixed,352,180,25,8,20,22,23,12,20,11,10,4,8,9
E02000029,Other,418,85,21,4,9,81,22,42,21,22,35,26,21,29
E02000029,White,3143,739,142,42,117,177,174,180,258,261,238,212,160,443
E02000030,Asian,879,212,62,19,27,35,44,49,90,85,51,62,52,91
E02000030,Black,242,73,19,7,11,19,19,15,14,21,12,16,6,10
E02000030,Mixed,214,105,19,3,16,12,6,12,9,10,5,9,4,4
E02000030,Other,274,54,13,6,7,13,14,16,17,19,20,20,27,48
E02000030,White,2994,508,126,37,101,145,127,120,192,182,227,217,234,778
E02000031,Asian,803,153,31,9,18,37,50,98,85,68,67,45,37,105
E02000031,Black,145,34,11,3,6,10,12,13,8,6,15,7,5,15
E02000031,Mixed,224,112,13,4,6,26,12,13,9,10,5,2,5,7
E02000031,Other,335,49,21,2,7,28,26,37,24,22,27,23,34,35
E02000031,White,2447,410,79,22,58,183,182,188,178,169,153,154,158,513
E02000032,Asian,814,177,48,15,25,37,27,58,69,62,67,49,39,141
E02000032,Black,136,22,4,5,11,14,2,4,4,8,23,20,9,10
E02000032,Mixed,218,100,20,5,13,21,10,8,10,11,4,4,5,7
E02000032,Other,453,92,25,7,10,27,21,23,30,33,37,39,34,75
E02000032,White,2287,394,126,31,76,127,103,103,159,188,181,182,156,461
E02000033,Asian,662,128,24,27,32,36,41,60,72,46,34,35,35,92
E02000033,Black,272,54,16,10,25,18,14,13,20,25,24,22,13,18
E02000033,Mixed,312,169,16,11,12,26,22,9,12,6,5,9,10,5
E02000033,Other,399,88,14,9,12,17,27,62,29,31,29,24,23,34
E02000033,White,2651,487,115,47,102,165,177,189,205,186,201,177,165,435
E02000034,Asian,713,158,21,10,16,31,55,61,77,50,50,44,32,108
E02000034,Black,228,53,23,11,11,16,18,12,13,23,12,14,6,16
E02000034,Mixed,235,114,17,6,11,14,16,10,4,12,8,10,4,9
E02000034,Other,326,70,17,4,9,24,27,24,31,31,20,26,16,27
E02000034,White,2833,530,122,48,97,193,184,185,210,203,208,192,150,511
E02000035,Asian,912,164,29,8,22,46,82,84,119,81,50,43,35,149
E02000035,Black,161,34,8,4,5,11,15,16,15,11,12,11,8,11
E02000035,Mixed,216,100,10,6,8,19,20,26,7,2,1,4,4,9
E02000035,Other,372,71,18,6,15,35,29,44,21,28,28,28,23,26
E02000035,White,2464,344,66,41,68,216,221,185,250,167,196,128,118,464
E02000036,Asian,1177,228,60,20,67,75,83,80,80,85,86,71,78,164
E02000036,Black,523,128,27,11,28,41,25,22,33,38,65,38,33,34
E02000036,Mixed,249,121,22,7,10,15,11,9,11,10,13,10,4,6
E02000036,Other,474,117,28,12,10,37,26,35,34,32,28,32,40,43
E02000036,White,3077,771,105,52,90,179,237,249,226,201,169,168,136,494
E02000037,Asian,1205,221,40,15,39,68,99,125,103,95,65,78,72,185
E02000037,Black,340,80,32,6,34,21,29,16,16,23,31,19,15,18
E02000037,Mixed,187,84,17,9,15,19,14,6,5,4,4,3,3,4
E02000037,Other,583,191,46,3,13,27,33,37,50,26,37,34,21,65
E02000037,White,2938,746,137,39,94,180,169,176,190,200,163,124,145,575
E02000038,Asian,945,176,33,13,33,62,71,64,89,84,77,55,58,130
E02000038,Black,378,96,31,9,18,25,25,19,26,20,42,25,15,27
E02000038,Mixed,306,152,24,8,8,25,18,13,17,14,14,7,2,4
E02000038,Other,437,96,30,5,17,27,18,40,37,32,31,32,24,48
E02000038,White,3113,530,137,49,100,179,211,242,239,275,233,220,168,530
E02000039,Asian,580,133,24,12,26,24,37,48,41,53,40,39,29,74
E02000039,Black,241,77,13,1,14,14,12,37,11,11,16,15,8,12
E02000039,Mixed,172,58,18,1,9,17,10,9,6,7,4,21,5,7
E02000039,Other,278,59,12,4,8,24,18,35,22,21,16,19,17,23
E02000039,White,2222,433,99,35,80,113,125,161,148,174,135,155,127,437
E02000040,Asian,848,190,70,19,22,52,66,96,72,66,46,40,33,76
E02000040,Black,399,113,42,18,26,22,19,25,22,26,35,21,12,18
E02000040,Mixed,293,145,31,2,10,15,26,13,14,8,10,6,6,7
E02000040,Other,436,90,41,11,15,20,42,28,38,33,41,21,16,40
E02000040,White,2419,441,88,28,76,171,197,210,179,172,152,128,127,450
E02000041,Asian,1067,195,48,20,32,57,86,85,87,85,68,58,51,195
E02000041,Black,350,98,29,12,13,28,23,19,20,21,23,21,16,27
E02000041,Mixed,175,69,15,1,9,16,7,7,9,5,23,5,5,4
E02000041,Other,486,141,34,9,24,26,29,28,26,47,28,30,20,44
E02000041,White,2474,519,92,44,107,165,219,215,198,156,140,134,119,366
E02000042,Asian,1481,271,48,18,63,92,94,153,123,118,91,100,104,206
E02000042,Black,251,57,19,3,15,26,19,15,14,18,14,16,14,21
E02000042,Mixed,343,155,29,7,19,12,19,18,32,15,10,11,3,13
E02000042,Other,631,126,29,6,19,68,84,67,48,54,31,30,18,51
E02000042,White,2980,522,72,37,74,244,269,251,264,260,233,170,142,442
E02000043,Asian,1016,262,28,7,25,40,52,76,97,93,73,48,64,151
E02000043,Black,130,28,7,1,12,10,4,4,7,11,13,17,4,12
E02000043,Mixed,205,106,7,4,20,7,9,9,7,11,11,6,4,4
E02000043,Other,330,77,16,13,6,20,14,20,25,22,30,18,28,41
E02000043,White,2001,421,74,14,50,111,125,137,171,155,138,135,111,359
E02000044,Asian,989,217,49,16,52,85,73,61,81,104,64,47,69,71
E02000044,Black,520,149,40,16,26,28,45,31,50,27,27,34,16,31
E02000044,Mixed,228,111,16,5,12,15,13,12,8,7,4,13,9,3
E02000044,Other,400,112,27,11,18,38,16,27,31,27,31,33,12,17
E02000044,White,2110,421,69,43,92,156,146,186,189,152,165,125,101,265
E02000045,Asian,715,125,42,32,17,39,48,53,61,51,53,53,37,104
E02000045,Black,492,134,36,9,24,34,24,33,20,31,25,73,25,24
E02000045,Mixed,382,183,43,15,18,29,17,8,19,13,11,12,5,9
E02000045,Other,426,93,26,16,14,27,19,27,45,45,36,28,11,39
E02000045,White,3007,643,110,35,92,187,202,255,262,243,232,214,148,384
E02000046,Asian,726,119,16,10,23,50,70,76,65,54,51,38,42,112
E02000046,Black,109,12,8,4,4,7,24,11,6,3,9,8,7,6
E02000046,Mixed,164,75,11,3,6,23,13,10,3,5,3,6,3,3
E02000046,Other,300,59,8,3,14,17,29,28,35,26,24,22,8,27
E02000046,White,2047,377,56,24,64,178,216,199,196,140,165,109,85,238
E02000047,Asian,1582,355,69,50,58,114,133,128,105,114,105,97,76,178
E02000047,Black,920,275,65,27,49,45,87,48,46,85,68,44,26,55
E02000047,Mixed,336,171,30,14,17,29,22,13,6,9,13,8,1,3
E02000047,Other,502,144,36,11,17,26,32,33,35,46,34,30,24,34
E02000047,White,2676,552,127,62,87,208,218,205,259,212,200,119,123,304
E02000048,Asian,899,179,31,11,30,52,62,72,79,64,61,54,66,138
E02000048,Black,327,80,19,11,13,42,24,25,19,29,19,14,14,18
E02000048,Mixed,235,115,9,5,13,20,16,14,11,6,17,3,2,4
E02000048,Other,608,147,33,8,16,28,48,39,62,49,43,35,33,67
E02000048,White,2821,616,115,36,72,135,183,214,210,218,165,170,134,553
E02000049,Asian,1189,301,44,17,20,86,96,149,100,118,71,66,39,82
E02000049,Black,1110,325,94,38,63,82,63,69,74,61,70,69,56,46
E02000049,Mixed,321,158,21,9,19,25,17,17,8,8,9,19,7,4
E02000049,Other,551,126,34,25,26,46,47,36,31,47,46,27,29,31
E02000049,White,1856,374,110,39,116,138,190,155,137,153,106,112,70,156
E02000050,Asian,931,158,51,19,27,57,91,61,90,58,55,44,47,173
E02000050,Black,400,102,35,8,20,27,46,24,17,21,26,32,18,24
E02000050,Mixed,286,150,23,12,12,18,22,9,9,13,10,3,1,4
E02000050,Other,451,72,18,5,71,20,28,35,36,33,64,22,18,29
E02000050,White,3008,553,148,77,106,225,199,236,239,221,229,184,158,433
E02000051,Asian,754,161,33,10,18,39,60,83,63,56,37,45,42,107
E02000051,Black,247,41,11,6,8,16,14,20,10,57,19,23,10,12
E02000051,Mixed,201,65,11,5,8,17,20,15,7,9,19,10,6,9
E02000051,Other,543,95,20,3,18,29,41,51,58,30,36,35,40,87
E02000051,White,2608,479,118,35,78,165,204,210,196,152,155,163,115,538
E02000052,Asian,558,100,23,3,15,42,56,57,53,39,37,27,33,73
E02000052,Black,247,49,17,6,10,28,23,11,21,14,15,14,9,30
E02000052,Mixed,281,108,36,6,10,26,23,19,12,15,4,9,4,9
E02000052,Other,325,59,17,1,9,34,46,28,34,29,13,12,17,26
E02000052,White,3232,597,99,24,85,248,277,246,263,288,280,204,138,483
E02000054,Asian,773,140,28,15,34,72,48,61,73,50,52,42,37,121
E02000054,Black,279,60,22,5,21,21,21,21,31,7,16,21,16,17
E02000054,Mixed,161,67,9,5,15,10,19,3,13,4,2,8,1,5
E02000054,Other,521,123,22,8,13,44,44,54,38,64,29,20,20,42
E02000054,White,2043,321,55,50,108,201,189,161,172,180,100,122,90,294
E02000055,Asian,893,158,36,16,45,69,74,75,78,57,56,55,50,124
E02000055,Black,404,93,32,13,17,45,29,30,24,17,30,30,19,25
E02000055,Mixed,259,82,14,4,31,30,22,10,12,12,15,13,7,7
E02000055,Other,671,135,37,25,38,59,50,41,66,53,50,40,25,52
E02000055,White,3552,684,135,126,220,368,349,300,227,254,183,158,143,405
E02000056,Asian,418,88,19,5,9,27,28,30,49,36,32,19,22,54
E02000056,Black,99,25,7,1,7,7,5,5,5,6,7,11,5,8
E02000056,Mixed,176,77,15,3,12,11,11,11,8,5,11,5,1,6
E02000056,Other,492,123,26,6,20,24,28,39,39,32,34,33,24,64
E02000056,White,3099,674,137,23,85,149,160,184,197,252,211,190,179,658
E02000057,Asian,532,97,22,11,10,76,57,49,36,27,19,19,27,82
E02000057,Black,170,37,13,3,15,12,16,8,13,16,8,8,11,10
E02000057,Mixed,108,32,9,6,6,16,8,6,9,6,5,3,1,1
E02000057,Other,478,138,23,4,17,24,46,44,29,25,41,22,20,45
E02000057,White,2673,763,107,86,123,235,237,220,167,137,116,99,104,279
E02000058,Asian,632,157,21,14,17,27,45,78,67,66,25,30,23,62
E02000058,Black,188,30,19,4,16,18,12,4,15,13,17,17,8,15
E02000058,Mixed,186,63,16,5,5,31,18,9,10,7,13,2,3,4
E02000058,Other,515,131,20,7,9,33,31,46,45,37,43,29,24,60
E02000058,White,3259,737,113,38,117,201,229,275,247,178,161,164,182,617
E02000059,Asian,1653,278,64,33,54,133,183,156,99,112,88,92,133,228
E02000059,Black,573,100,33,20,26,51,87,29,45,35,40,36,19,52
E02000059,Mixed,266,110,17,7,8,26,33,17,8,5,15,8,6,6
E02000059,Other,516,117,36,6,21,57,37,42,47,50,38,16,17,32
E02000059,White,2719,348,82,45,126,225,318,344,292,182,226,142,151,238
E02000060,Asian,621,70,21,6,30,52,30,51,55,51,67,27,29,132
E02000060,Black,163,20,2,5,22,23,11,15,12,10,10,9,7,17
E02000060,Mixed,136,44,6,7,12,10,16,10,4,5,6,3,5,8
E02000060,Other,851,283,35,12,41,64,49,55,65,67,34,24,38,84
E02000060,White,4039,1453,216,69,134,303,304,246,217,177,160,119,173,468
E02000061,Asian,738,130,28,14,19,42,46,119,65,58,63,41,29,84
E02000061,Black,133,26,5,2,13,13,7,5,7,12,6,15,4,18
E02000061,Mixed,178,73,13,5,5,17,14,12,6,13,9,5,4,2
E02000061,Other,477,88,15,28,20,36,28,40,37,53,35,23,24,50
E02000061,White,2536,448,76,27,98,192,277,187,179,166,147,193,126,420
E02000062,Asian,656,130,29,20,32,36,62,43,42,56,56,34,44,72
E02000062,Black,421,127,34,11,29,33,28,31,27,18,26,24,7,26
E02000062,Mixed,278,99,21,8,16,22,16,15,48,7,7,10,4,5
E02000062,Other,560,182,33,17,15,24,37,43,49,60,30,20,22,28
E02000062,White,1473,230,48,18,65,134,142,145,140,127,114,86,64,160
E02000063,Asian,727,143,39,14,20,34,62,62,65,56,52,39,33,108
E02000063,Black,331,76,28,8,16,24,27,25,14,15,39,25,13,21
E02000063,Mixed,222,92,17,6,15,24,12,16,6,11,12,3,2,6
E02000063,Other,701,176,45,12,41,45,43,57,64,59,46,45,24,44
E02000063,White,1672,255,54,19,80,139,131,149,148,123,107,110,107,250
E02000064,Asian,504,107,28,12,21,35,24,71,39,36,34,33,17,47
E02000064,Black,397,161,25,14,13,30,36,33,9,17,11,20,16,12
E02000064,Mixed,191,82,15,10,12,22,13,12,6,4,4,3,3,5
E02000064,Other,360,74,15,9,16,18,23,25,35,54,20,21,14,36
E02000064,White,1755,323,76,39,84,170,146,120,130,111,130,97,103,226
E02000065,Asian,313,80,16,9,12,17,25,17,20,23,19,18,20,37
E02000065,Black,1928,581,143,39,75,93,93,90,130,137,227,141,97,82
E02000065,Mixed,196,98,15,4,11,18,8,7,7,3,9,3,7,6
E02000065,Other,142,39,6,3,0,8,7,12,13,17,16,11,2,8
E02000065,White,1338,281,62,38,52,74,117,92,87,106,102,74,91,162
E02000066,Asian,492,88,23,20,16,32,45,29,36,29,27,36,37,74
E02000066,Black,1664,494,111,42,67,97,87,67,109,138,147,138,82,85
E02000066,Mixed,194,96,14,6,9,14,13,7,5,9,8,5,6,2
E02000066,Other,124,22,11,0,2,3,16,6,18,9,6,9,7,15
E02000066,White,2081,396,100,63,83,150,142,141,137,130,128,153,140,318
E02000067,Asian,564,130,21,4,20,39,61,61,60,48,26,10,25,59
E02000067,Black,1063,322,66,22,48,70,86,81,83,76,67,62,38,42
E02000067,Mixed,259,139,21,4,8,18,19,9,7,10,9,5,4,6
E02000067,Other,169,32,5,2,2,19,15,20,15,11,11,12,10,15
E02000067,White,2947,584,126,68,123,216,263,240,208,183,206,194,154,382
E02000068,Asian,471,112,25,4,17,23,45,56,43,32,23,22,22,47
E02000068,Black,1020,361,67,21,39,58,61,55,76,83,82,58,30,29
E02000068,Mixed,191,105,13,6,4,17,6,5,14,6,7,6,0,2
E02000068,Other,121,24,8,1,4,2,23,15,11,10,4,3,5,11
E02000068,White,2051,480,101,41,82,151,162,147,120,128,125,124,115,275
E02000069,Asian,440,105,16,6,15,19,35,52,43,33,25,11,23,57
E02000069,Black,625,193,41,13,28,48,31,43,40,50,45,49,21,23
E02000069,Mixed,157,75,13,6,10,12,18,7,8,0,3,3,0,2
E02000069,Other,89,21,1,0,4,4,12,6,5,7,9,6,8,6
E02000069,White,2147,374,70,40,71,135,156,166,141,136,131,162,120,445
E02000070,Asian,434,101,24,13,16,22,27,41,36,36,27,29,19,43
E02000070,Black,365,119,14,10,9,24,22,16,27,25,36,34,17,12
E02000070,Mixed,166,90,6,7,5,4,12,11,7,8,5,6,3,2
E02000070,Other,125,28,7,2,3,8,7,14,13,8,7,4,3,21
E02000070,White,2782,440,100,62,92,165,156,164,179,171,218,219,197,619
E02000071,Asian,341,89,13,5,5,26,30,41,29,27,15,15,15,31
E02000071,Black,387,139,28,5,10,17,18,15,25,43,25,27,19,16
E02000071,Mixed,127,84,6,4,3,5,7,5,2,6,2,1,0,2
E02000071,Other,121,20,5,6,5,9,8,8,15,9,5,9,10,12
E02000071,White,2744,533,154,72,118,160,150,151,172,182,214,197,171,470
E02000072,Asian,486,143,16,3,11,33,46,69,56,46,27,13,9,14
E02000072,Black,1915,647,123,34,64,100,100,108,147,196,152,136,63,45
E02000072,Mixed,250,146,11,12,9,12,21,14,4,4,9,3,1,4
E02000072,Other,150,30,7,10,9,6,13,16,12,9,8,6,13,11
E02000072,White,3297,792,182,81,137,229,231,212,206,202,233,241,190,361
E02000073,Asian,811,214,23,9,21,39,74,87,96,58,32,44,40,74
E02000073,Black,329,82,19,8,22,18,18,17,25,23,30,31,20,16
E02000073,Mixed,132,84,7,7,3,8,10,4,1,1,1,3,0,3
E02000073,Other,149,28,13,2,7,14,10,13,9,13,5,10,7,18
E02000073,White,3789,628,170,96,132,187,181,226,241,236,289,319,243,841
E02000074,Asian,277,63,12,4,9,13,30,35,25,25,13,9,12,27
E02000074,Black,737,240,72,11,40,49,35,40,42,63,55,38,19,33
E02000074,Mixed,154,93,9,2,6,7,10,6,5,3,5,4,2,2
E02000074,Other,92,23,8,2,6,5,6,9,8,5,3,6,4,7
E02000074,White,2937,580,131,76,92,201,219,195,179,180,192,223,182,487
E02000075,Asian,435,112,19,7,12,16,35,46,52,32,18,23,14,49
E02000075,Black,169,38,12,4,4,16,11,6,15,13,13,13,13,11
E02000075,Mixed,117,57,6,3,7,9,4,4,6,5,7,3,3,3
E02000075,Other,89,14,11,0,3,2,9,9,8,5,11,4,6,7
E02000075,White,3048,482,145,63,99,138,168,177,170,171,216,234,214,771
E02000077,Asian,668,168,35,12,17,36,47,79,81,46,45,29,22,51
E02000077,Black,248,52,23,11,12,10,9,22,6,14,25,32,14,18
E02000077,Mixed,110,55,7,3,3,7,10,4,6,4,4,1,3,3
E02000077,Other,166,46,7,2,2,3,17,16,10,17,16,8,8,14
E02000077,White,2679,419,131,65,106,179,168,179,187,147,198,207,175,518
E02000078,Asian,268,83,6,5,7,10,22,34,37,20,11,9,3,21
E02000078,Black,285,79,21,6,12,12,17,21,21,19,29,26,12,10
E02000078,Mixed,129,66,8,5,6,9,4,14,6,4,3,2,0,2
E02000078,Other,78,23,2,2,0,6,4,8,10,9,4,3,2,5
E02000078,White,3079,538,139,65,94,173,231,185,217,203,226,212,185,611
E02000079,Asian,548,162,17,1,11,18,45,72,76,47,29,19,15,36
E02000079,Black,203,63,17,3,8,17,9,13,20,12,14,9,12,6
E02000079,Mixed,135,77,7,2,5,7,10,8,5,4,5,1,3,1
E02000079,Other,104,17,9,4,3,6,14,9,11,8,6,6,4,7
