area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00072642,23,26,19,13,18,16,15,22,32,34,23,33,32,40,30,24,11,17
E00072643,13,22,16,11,11,9,6,12,18,19,17,19,17,17,21,17,10,15
E00072644,16,9,17,16,15,5,5,12,12,21,27,31,18,13,15,19,12,10
E00072645,20,33,32,29,19,9,16,27,25,40,37,37,19,19,35,38,12,19
E00072646,27,27,21,24,16,20,15,19,37,26,19,28,16,16,21,9,8,10
E00072647,7,10,20,13,13,4,10,11,10,15,20,19,18,11,16,9,3,0
E00072648,2,9,9,14,17,8,5,9,7,17,15,28,31,9,17,16,7,9
E00072649,16,16,26,12,13,10,11,21,20,28,21,17,22,16,18,19,11,7
E00072650,6,17,19,13,9,4,8,17,17,19,19,19,16,18,12,18,11,10
E00072651,13,11,6,12,5,18,14,12,8,19,23,17,17,17,17,13,3,3
E00072652,45,58,49,40,26,20,32,50,45,33,35,69,29,13,24,14,14,12
E00072653,20,40,47,37,16,12,19,28,39,55,33,31,36,27,22,24,12,13
E00072654,3,9,11,17,7,11,11,8,4,9,17,24,24,10,14,9,6,3
E00072655,12,7,17,16,11,14,13,7,10,24,23,26,29,22,24,21,17,16
E00072656,26,27,16,18,12,13,5,29,26,22,21,27,22,23,41,22,11,9
E00072657,1,4,8,5,8,5,5,5,10,7,15,18,10,9,6,5,2,1
E00072658,3,5,5,4,4,2,6,8,8,8,17,15,17,19,8,5,2,2
E00072659,22,29,22,27,10,17,21,20,25,23,15,22,25,19,8,12,9,2
E00072660,37,27,34,21,17,21,29,37,20,19,26,35,26,17,20,18,5,9
E00072661,12,27,12,17,7,11,9,22,16,31,11,17,15,16,28,12,9,8
E00072662,15,24,21,18,10,22,14,12,23,22,21,22,14,14,12,14,11,6
E00072663,23,11,16,13,19,16,14,25,9,20,31,34,20,15,16,13,5,12
E00072664,14,15,27,26,11,11,13,20,14,24,37,39,25,26,36,30,21,20
E00072665,15,13,28,18,25,9,22,21,16,26,36,25,35,24,23,16,14,12
E00072666,8,9,17,13,8,6,5,10,18,9,23,14,20,18,27,16,8,16
E00072667,6,13,19,12,4,9,12,5,14,14,12,20,23,25,20,25,7,20
E00072668,3,5,11,13,20,8,5,8,3,7,21,22,19,12,16,12,6,14
E00072669,16,10,15,12,51,17,12,11,9,14,13,22,15,21,12,15,7,8
E00072671,19,22,12,7,8,15,11,15,7,15,11,8,13,8,7,5,9,1
E00072672,11,14,18,14,7,9,8,8,14,19,30,19,23,19,19,12,5,14
E00072673,32,25,14,13,31,27,23,22,13,22,27,15,10,11,9,4,1,3
E00072674,15,24,18,23,25,26,17,16,11,18,28,14,13,10,11,17,4,6
E00072675,24,22,17,13,18,31,19,9,20,18,18,16,11,4,4,2,8,0
E00072676,8,24,44,19,14,6,12,10,18,9,21,26,18,13,27,17,16,20
E00072677,10,10,24,15,21,10,14,4,15,17,22,26,17,14,17,11,7,3
E00072678,38,33,29,24,30,13,40,28,20,20,23,28,11,9,8,6,6,3
E00072680,7,10,14,18,18,10,9,9,21,15,16,27,23,13,16,12,9,16
E00072681,18,18,26,20,37,25,17,28,23,26,26,9,11,27,24,16,14,8
E00072682,11,16,29,24,14,9,13,14,23,26,18,23,30,22,25,17,16,6
E00072683,9,12,15,26,48,21,20,13,14,11,14,23,8,10,5,9,5,7
E00072684,19,14,16,19,22,14,23,24,25,23,20,14,12,6,4,7,8,7
E00072685,12,19,17,17,10,12,7,20,16,13,29,27,34,28,29,16,8,6
E00072686,6,9,16,8,15,8,8,12,9,10,24,30,29,24,34,15,9,12
E00072687,10,4,6,12,6,14,4,9,5,4,14,12,9,15,10,16,9,12
E00072688,3,4,19,22,19,13,10,3,13,22,19,34,20,27,37,21,15,35
E00072689,5,8,7,18,13,8,13,13,7,10,13,18,21,19,13,7,8,5
E00072690,19,16,15,16,9,11,19,19,18,15,19,40,33,18,17,15,11,6
E00072691,27,21,15,11,8,25,34,26,21,15,33,14,29,41,28,31,28,15
E00072692,22,27,18,20,10,13,24,25,27,24,23,26,28,21,29,8,12,7
E00072693,16,21,23,13,15,11,17,16,19,28,33,35,43,31,24,17,16,8
E00072694,21,17,20,13,10,11,16,25,25,19,29,27,21,18,18,20,13,4
E00072695,12,11,13,8,13,11,12,13,13,14,26,15,8,11,17,14,7,6
E00072696,12,14,19,35,15,10,11,13,14,35,40,37,20,17,33,16,8,6
E00072697,22,38,18,15,8,23,28,21,18,16,21,18,16,19,8,5,4,10
E00072698,13,25,17,14,8,9,17,19,13,24,30,22,21,24,29,14,15,11
E00072699,24,19,19,27,27,19,13,22,24,37,40,40,50,48,43,38,20,18
E00072700,12,19,21,14,17,11,15,10,21,40,34,18,30,30,32,29,13,10
E00072701,18,18,30,14,14,19,11,14,24,16,34,18,26,22,24,10,6,5
E00072702,16,20,32,11,11,17,28,13,32,21,19,25,15,16,23,11,10,9
E00072703,10,12,19,13,13,9,10,14,15,20,22,28,14,35,28,18,12,15
E00072704,7,12,17,8,12,9,12,14,20,13,19,16,12,15,16,14,13,15
E00072705,18,30,20,24,26,20,17,17,33,26,31,37,16,21,32,18,4,9
E00072706,15,13,13,7,9,11,14,5,16,11,16,16,24,16,31,15,14,11
E00072707,6,17,23,12,11,11,17,18,16,18,29,24,16,16,16,16,6,9
E00072708,12,14,7,14,7,22,30,17,9,20,17,14,18,15,20,7,9,12
E00072709,26,28,32,24,11,6,24,25,28,37,28,24,20,11,26,11,7,17
E00072710,14,9,11,9,14,6,5,14,14,17,22,19,28,16,28,25,11,22
E00072711,11,18,25,19,18,13,14,20,19,17,25,18,16,13,15,15,19,25
E00072712,16,9,25,15,8,9,12,13,21,18,13,28,27,30,34,25,14,9
E00072713,16,15,16,12,11,9,15,19,23,17,16,14,15,18,37,30,19,15
E00072714,14,7,9,11,14,13,13,6,13,12,31,29,28,23,46,33,15,17
E00072715,19,22,15,24,27,18,18,30,27,31,22,28,20,22,19,15,7,11
E00072716,15,14,11,5,8,23,15,14,13,15,11,14,12,14,18,15,14,21
E00072717,40,31,34,31,35,27,40,37,29,44,47,31,34,23,28,15,6,10
E00072718,10,8,15,8,17,22,21,26,14,18,18,11,12,20,12,4,10,6
E00072719,3,14,8,9,12,6,14,8,9,12,12,24,14,11,22,16,18,28
E00072720,15,23,33,29,21,16,12,20,21,45,29,27,15,13,27,14,19,12
E00072721,15,11,13,11,29,26,39,18,13,14,23,4,11,14,14,10,16,20
E00072722,26,18,21,11,18,43,35,31,23,19,16,27,28,16,27,24,9,4
E00072723,10,8,13,14,18,21,18,20,13,21,20,30,33,31,19,15,10,4
E00072725,18,20,12,14,18,20,25,24,18,15,23,27,14,16,15,6,8,8
E00072726,17,22,29,15,12,10,18,34,24,27,19,22,19,14,15,12,15,12
E00072727,12,17,27,19,14,12,17,10,21,27,27,33,17,16,26,22,9,14
E00072728,24,38,24,16,14,24,36,36,23,20,17,15,10,15,14,4,7,9
E00072729,20,25,21,16,22,25,18,27,24,26,29,27,26,19,20,6,4,5
E00072730,5,15,6,9,17,5,12,11,15,11,21,14,23,17,37,29,18,9
E00072731,17,19,14,12,9,13,23,25,18,9,12,15,22,21,24,12,14,7
E00072732,27,35,45,25,16,19,35,28,23,19,14,17,12,14,17,10,9,11
E00072733,30,27,21,15,17,33,27,37,28,13,16,18,14,12,20,11,7,4
E00072734,20,28,16,24,23,25,29,30,26,26,31,35,22,18,19,10,10,7
E00072736,16,13,16,9,16,22,21,21,15,15,18,16,27,15,20,20,22,18
E00072737,15,18,13,23,13,13,14,10,19,31,22,27,17,25,24,11,11,9
