msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001662,0,0,0,0,0,7,15,15
E02001663,0,0,0,0,12,11,9,4
E02001664,0,0,3,0,3,0,0,0
E02001665,0,0,0,0,0,0,0,0
E02001666,0,0,0,0,0,0,0,0
E02001669,0,4,4,4,5,2,3,7
E02001670,0,0,0,0,0,2,3,1
E02001671,0,0,0,0,0,0,0,0
E02001672,0,0,3,5,3,7,9,6
E02001673,0,0,0,0,0,3,4,6
E02001674,1,5,1,6,7,3,5,7
E02001675,0,0,0,0,0,0,2,0
E02001676,0,0,0,0,3,1,0,6
E02001678,0,0,0,0,6,3,4,11
E02001679,0,0,0,0,0,0,0,0
E02001680,0,0,0,0,1,1,1,3
E02001681,0,14,0,7,14,4,2,0
E02002183,0,0,0,0,0,1,4,8
E02002184,0,0,0,0,0,4,11,14
E02002185,0,0,0,0,0,4,9,8
E02002187,7,0,0,0,0,0,0,0
E02002188,0,0,0,0,0,0,0,0
E02002189,0,7,5,3,11,10,15,20
E02002190,1,0,1,0,0,3,2,3
E02002191,0,0,1,0,14,0,0,0
E02002192,0,0,0,1,4,4,10,15
E02002193,0,0,0,0,0,0,0,0
E02002194,0,0,0,0,0,0,1,0
E02002195,0,0,0,0,3,4,10,4
E02002196,0,0,0,0,0,0,0,0
E02002197,0,0,0,0,1,3,3,16
E02002198,0,0,0,1,0,2,1,7
E02002199,0,0,0,0,0,0,0,4
E02002200,0,0,0,12,24,4,12,14
E02002201,0,0,5,0,10,15,13,9
E02002202,0,0,0,2,3,1,5,4
E02002203,0,6,2,0,0,0,0,0
E02002204,0,0,0,0,0,0,0,7
E02002205,2,8,15,9,1,1,0,2
E02002206,0,0,0,0,0,0,0,0
E02002207,0,2,0,6,6,5,6,4
E02002208,0,0,0,0,0,0,0,0
E02002209,0,0,1,2,1,0,0,0
E02002210,9,0,0,0,0,2,4,1
E02002211,0,11,16,28,44,29,18,5
E02002212,0,3,20,24,8,6,0,0
E02002213,0,0,0,0,0,0,0,0
E02002214,0,0,0,0,0,0,0,0
E02002215,0,0,0,0,0,0,0,0
E02002216,0,2,12,40,50,35,18,10
E02002217,0,5,0,0,3,10,10,4
E02002218,0,0,0,2,0,0,0,0
E02002219,2,5,0,12,21,8,4,0
E02002220,0,0,0,0,0,0,0,0
