Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-181422619,2011-04-21,Y,Holme House Care Home,Yorkshire and The Humber,Kirklees,Oxford Road,Cleckheaton,BD19 4LA,53.737104,-1.689671,Batley and Spen,"Creegan, James",Y,Y,,,Y,,Y,Y,Y,Y,,7,7,E08000034,E02002274,E00056654,68,53.0,78.0,0.95235,7.0,9.7336,0.03389
1-1815792421,2015-01-09,Y,Norcott Lodge,Yorkshire and The Humber,Kirklees,75 Leeds Road,Liversedge,WF15 6JA,53.71179,-1.684903,Batley and Spen,"Morris, Joanne",,,Y,,,Y,Y,,Y,Y,Y,3,3,E08000034,E02002279,E00178649,9,9.0,100.0,0.99806,0.0,0.0,0.0
1-1933972823,2015-02-19,Y,Newlands Hall,Yorkshire and The Humber,Kirklees,High Street,Heckmondwike,WF16 0AL,53.709108,-1.666743,Batley and Spen,"Alvi, Asif",,,Y,,Y,,,Y,Y,,Y,6,6,E08000034,E02002281,E00056240,30,26.0,86.0,0.9234,4.0,12.8956,0.07579
1-2055746941,2015-05-27,Y,Hampton House,Yorkshire and The Humber,Kirklees,69 Keldregate,Huddersfield,HD2 1BQ,53.677881,-1.746755,Huddersfield,"Leese, Russell",,,Y,,,Y,,Y,Y,Y,,3,3,E08000034,E02002295,E00055955,12,12.0,100.0,0.97953,0.0,0.0,0.00967
1-2055754436,2015-05-27,Y,Langley Lodge,Yorkshire and The Humber,Kirklees,136 Deighton Road,Huddersfield,HD2 1JS,53.67075,-1.758301,Huddersfield,"Leese, Russell",,,Y,,,Y,,Y,Y,Y,,2,2,E08000034,E02002295,E00055969,6,6.0,100.0,0.93889,0.0,0.0,0.08512
1-2070900715,2015-07-10,Y,Aspire Community Support Services,Yorkshire and The Humber,Kirklees,Rushbrook House,Huddersfield,HD3 4RB,53.643664,-1.834874,Colne Valley,"Whitaker, Marie",,,Y,,,Y,Y,,,Y,Y,0,0,E08000034,E02002308,E00056167,6,5.0,82.33200078297794,,,,
1-2181448605,2015-08-21,Y,Hopton Cottage Care Home,Yorkshire and The Humber,Kirklees,Chadwick Fold Lane,Mirfield,WF14 8PW,53.672386,-1.698714,Dewsbury,"Martin, Joseph",,,Y,,Y,,,Y,,,,2,2,E08000034,E02002296,E00056527,62,55.0,89.0,0.95792,6.0,9.124,0.04465
1-2237389265,2016-02-01,Y,Greenacres,Yorkshire and The Humber,Kirklees,Huddersfield Road,Holmfirth,HD9 4AG,53.592501,-1.846887,Colne Valley,"Boyle, Allison",,,Y,,Y,,,Y,,,,2,2,E08000034,E02002325,E00056293,64,35.0,55.0,0.96407,40.0,61.8718,0.00686
1-2365446438,2016-02-01,Y,Ashworth Grange,Yorkshire and The Humber,Kirklees,Ashworth,Dewsbury,WF13 2SU,53.693066,-1.636551,Dewsbury,"Boyle, Allison",,,Y,,Y,,,Y,,,,6,6,E08000034,E02002287,E00056071,64,50.0,78.0,0.76716,8.0,12.2002,0.20029
1-2365446646,2016-02-01,Y,Lydgate Lodge,Yorkshire and The Humber,Kirklees,Soothill Lane,Batley,WF17 6EZ,53.714277,-1.610489,Batley and Spen,"Boyle, Allison",,,Y,,Y,,,Y,,,,3,3,E08000034,E02002277,E00055527,64,58.0,90.0,0.94657,4.0,6.3148,0.0222
1-255260292,2011-06-16,Y,Ashcroft Nursing Home,Yorkshire and The Humber,Kirklees,Church Street,Cleckheaton,BD19 3RN,53.724501,-1.710557,Batley and Spen,"Patel, Ashraf",Y,Y,,,Y,Y,,Y,Y,Y,Y,6,6,E08000034,E02002275,E00055730,40,34.0,85.0,0.90041,4.0,11.068,0.13757
1-2576938612,2016-04-25,Y,Gledholt,Yorkshire and The Humber,Kirklees,32 Greenhead Road,Huddersfield,HD1 4EZ,53.646321,-1.797317,Huddersfield,"Cunningham, Barnaby",,Y,,,,Y,Y,,,,Y,2,2,E08000034,E02002309,E00056606,9,8.0,94.0,0.97494,1.0,7.8567,0.03415
1-264184527,2011-06-20,Y,Bell House Care Home Limited,Yorkshire and The Humber,Kirklees,61 Wilshaw Road,Huddersfield,HD9 4DX,53.584136,-1.823067,Colne Valley,"Ahmad, Shireen",,,Y,,,,,Y,,,,7,7,E08000034,E02002325,E00056312,24,17.0,73.0,0.89583,4.0,14.6046,0.10863
1-275412683,2011-07-08,Y,Meadow Court Residential Home,Yorkshire and The Humber,Kirklees,Meal Hill Lane,Huddersfield,HD7 5EL,53.625312,-1.882406,Colne Valley,"Humble, Stacey",,,Y,,,,,Y,,,,5,5,E08000034,E02002319,E00055791,37,32.0,86.0,0.97461,2.0,4.8347,0.00975
1-297684025,2011-10-21,Y,Park Riding,Yorkshire and The Humber,Kirklees,66 Greenfield Road,Holmfirth,HD9 2LA,53.567789,-1.79659,Colne Valley,"White, Nikki",,,Y,,,,,Y,,,,2,2,E08000034,E02002328,E00056361,16,14.0,91.0,0.88124,1.0,4.4194,0.03011
1-307290049,2011-09-30,Y,Abbey Place,Yorkshire and The Humber,Kirklees,90 Abbey Road,Huddersfield,HD2 1BB,53.661509,-1.775983,Huddersfield,"Boote, Alison",,,Y,,Y,,Y,Y,,,,3,3,E08000034,E02002299,E00055623,78,40.0,51.0,0.93529,9.0,11.633,0.04969
1-307290076,2011-09-30,Y,Alwoodleigh,Yorkshire and The Humber,Kirklees,4 Bryan Road,Huddersfield,HD2 2AH,53.659369,-1.806455,Huddersfield,"Boote, Alison",Y,Y,,,Y,,,Y,Y,,Y,5,5,E08000034,E02002303,E00056467,40,27.0,68.0,0.91936,14.0,35.2402,0.05517
1-307400651,2011-10-09,Y,Bryan Wood,Yorkshire and The Humber,Kirklees,1 Bryan Road,Huddersfield,HD2 2AL,53.657732,-1.806281,Huddersfield,"Boote, Alison",,,Y,,Y,,,Y,,,Y,5,5,E08000034,E02002304,E00056628,45,33.0,73.0,0.85172,3.0,7.6012,0.07216
1-339595989,2011-12-15,Y,The Beeches,Yorkshire and The Humber,Kirklees,Far Common Road,Mirfield,WF14 0DQ,53.693407,-1.709939,Batley and Spen,"O'Mahony, Anna",,,Y,,,Y,,,Y,Y,,1,1,E08000034,E02002285,E00056218,13,13.0,100.0,0.92717,,,
1-339704833,2011-12-14,Y,Poplars,Yorkshire and The Humber,Kirklees,Far Common Road,Mirfield,WF14 0DQ,53.693407,-1.709939,Batley and Spen,"O'Mahony, Anna",,,Y,,,Y,,,Y,Y,,2,2,E08000034,E02002285,E00056218,12,12.0,100.0,0.71249,0.0,0.0,0.33833
1-352114449,2012-01-20,Y,Norcott House,Yorkshire and The Humber,Kirklees,75 Leeds Road,Liversedge,WF15 6JA,53.71179,-1.684903,Batley and Spen,"Morris, Joanne",,,Y,,,Y,Y,Y,,,Y,2,2,E08000034,E02002279,E00178649,11,15.0,136.0,0.96525,7.0,64.2824,0.00181
1-360010842,2012-01-30,Y,Longwood Grange,Yorkshire and The Humber,Kirklees,Longwood Gate,Huddersfield,HD3 4UP,53.647278,-1.83551,Colne Valley,"Cash, Mark",,,Y,,Y,,,Y,Y,Y,,9,9,E08000034,E02002308,E00056160,34,21.0,63.0,0.94335,11.0,31.9494,0.09671
1-375214244,2012-04-16,Y,The Oakes Care Centre,Yorkshire and The Humber,Kirklees,Willwood Avenue,Huddersfield,HD3 4YA,53.651775,-1.825174,Colne Valley,"Hall, Antony",,,Y,,Y,,,Y,,,,4,4,E08000034,E02002303,E00056456,60,52.0,86.0,0.86515,6.0,9.4648,0.23335
1-3779778472,2017-06-26,Y,Fixby Lodge,Yorkshire and The Humber,Kirklees,48 Long Hill Road,Huddersfield,HD2 1PJ,53.673727,-1.76982,Huddersfield,"Leese, Russell",,,Y,,,Y,,Y,Y,,Y,1,1,E08000034,E02002295,E00055961,8,6.0,75.0,0.65545,,,
1-403242933,2012-04-02,Y,Thornhill Nursing Home,Yorkshire and The Humber,Kirklees,6 Thornhill Road,Huddersfield,HD3 3AU,53.656757,-1.811083,Colne Valley,"Vernon, Mandy",Y,Y,,,Y,,,Y,,,Y,2,2,E08000034,E02002303,E00056470,42,39.0,93.0,0.85214,1.0,3.3672,0.18959
1-4232617586,2017-09-06,Y,The Old Vicarage,Yorkshire and The Humber,Kirklees,142 Boothroyd Lane,Dewsbury,WF13 2LP,53.691852,-1.649528,Dewsbury,"Cresswell, Rebekah",,,Y,,,Y,,,,Y,Y,2,2,E08000034,E02002287,E00056066,7,5.0,71.0,0.9994,3.0,40.4061,0.0
1-443581055,2012-07-06,Y,Roberttown Care Home Limited,Yorkshire and The Humber,Kirklees,98 Church Road,Liversedge,WF15 8BE,53.700885,-1.712612,Batley and Spen,"Cash, Mark",,,Y,,Y,,,Y,Y,Y,Y,5,5,E08000034,E02002285,E00056217,29,24.0,84.0,0.94381,3.0,8.992,0.05214
1-471160916,2012-11-30,Y,Ings House Nursing Home,Yorkshire and The Humber,Kirklees,350 Bradford Road,Liversedge,WF15 6BY,53.712161,-1.689218,Batley and Spen,"Reynolds, Karen",Y,Y,,,Y,,,Y,Y,,Y,4,4,E08000034,E02002279,E00056699,32,26.0,80.0,0.86838,2.0,5.9839,0.0607
1-4758354134,2018-02-12,Y,Priestley,Yorkshire and The Humber,Kirklees,Market Street,Batley,WF17 9EN,53.73157,-1.660699,Batley and Spen,"Fogg, Joanne",,,Y,,,,,Y,,,,3,3,E08000034,E02002272,E00055723,40,37.0,93.0,0.86217,3.0,7.6376,0.11958
1-4758354202,2018-06-04,Y,The Hawthornes,Yorkshire and The Humber,Kirklees,Mill Lane,Bradford,BD11 2AP,53.754882,-1.692755,Batley and Spen,"Fogg, Joanne",,,Y,,,,,Y,,,,4,4,E08000034,E02002271,E00055694,40,34.0,84.0,0.97657,4.0,10.5079,0.00567
1-4758354339,2018-02-12,Y,York House,Yorkshire and The Humber,Kirklees,Old Bank Road,Dewsbury,WF12 7AH,53.69102,-1.617473,Dewsbury,"Fogg, Joanne",,,Y,,Y,,,,Y,,Y,4,4,E08000034,E02002288,E00056064,36,34.0,94.0,0.80156,2.0,5.5556,0.15819
1-5178830112,2018-05-16,Y,Orchard Court,Yorkshire and The Humber,Kirklees,Far Common Road,Mirfield,WF14 0DQ,53.693407,-1.709939,Batley and Spen,"O'Mahony, Anna",,,Y,Y,,,,,Y,Y,Y,2,2,E08000034,E02002285,E00056218,8,8.0,94.0,0.73775,1.0,8.8388,0.0
1-5399976805,2018-07-16,Y,Sun Woodhouse Care Home,Yorkshire and The Humber,Kirklees,Woodhouse Hall Road,Huddersfield,HD2 1DJ,53.666084,-1.771328,Huddersfield,"Reeman, Samantha",,,Y,,Y,,,Y,Y,,,6,6,E08000034,E02002299,E00055645,24,16.0,65.0,0.85216,2.0,7.3362,0.13879
1-571393629,2013-01-07,Y,61 Track Road,Yorkshire and The Humber,Kirklees,61 Track Road,Batley,WF17 7AB,53.705406,-1.642171,Batley and Spen,"Maguire, Susie",,,Y,,,Y,Y,Y,,,Y,1,1,E08000034,E02002282,E00055605,4,4.0,100.0,0.99806,,,
1-571394079,2013-01-07,Y,"St Anne's, Huddersfield Mental Health Services",Yorkshire and The Humber,Kirklees,29 Cambridge Road,Huddersfield,HD1 5BU,53.652182,-1.78747,Huddersfield,"Maguire, Susie",,,Y,,,,Y,Y,,,Y,2,2,E08000034,E02002304,E00056594,10,10.0,100.0,0.82515,0.0,0.0,0.22393
1-571420323,2013-01-07,Y,"St Anne's, Huddersfield Mental Health Services",Yorkshire and The Humber,Kirklees,26 Beech Street,Huddersfield,HD1 4JP,53.643655,-1.810551,Huddersfield,"Maguire, Susie",,,Y,,,,Y,,,,Y,2,2,E08000034,E02002309,E00056597,4,4.0,100.0,0.98643,0.0,0.0,0.0
1-5932629902,2018-11-27,Y,Paddock Lodge Care Home,Yorkshire and The Humber,Kirklees,60 Church Street,Huddersfield,HD1 4UD,53.643194,-1.80901,Huddersfield,"Dhaliwal, Mandy",,,Y,,Y,,,Y,Y,,Y,3,3,E08000034,E02002309,E00056592,24,19.0,79.0,0.77743,3.0,11.024,0.1626
1-6395010122,2019-05-30,Y,Scissett Mount,Yorkshire and The Humber,Kirklees,Busker Lane,Huddersfield,HD8 9JU,53.58947,-1.629315,Dewsbury,"Parry, Maxine",Y,Y,,,Y,,,Y,Y,Y,Y,3,3,E08000034,E02002327,E00055997,55,50.0,91.0,0.82622,32.0,58.267,0.10334
1-6958178183,2019-07-31,Y,Beechwood - Care Home with Nursing Physical Disabilities,Yorkshire and The Humber,Kirklees,8 Bryan Road,Huddersfield,HD2 2AH,53.659369,-1.806455,Huddersfield,"Reeman, Samantha",Y,Y,,,,,,Y,Y,,Y,6,6,E08000034,E02002303,E00056467,27,18.0,66.0,0.79073,7.0,26.5446,0.20273
1-6958525633,2019-07-31,Y,Kenmore - Care Home with Nursing Physical Disabilities,Yorkshire and The Humber,Kirklees,100 Whitecliffe Road,Cleckheaton,BD19 3DS,53.727165,-1.723179,Batley and Spen,"Reeman, Samantha",Y,Y,,,,,,Y,Y,,Y,6,6,E08000034,E02002275,E00055739,26,21.0,80.0,0.80056,4.0,13.8497,0.22303
1-714622735,2013-05-13,Y,The Conkers,Yorkshire and The Humber,Kirklees,Far Common Road,Mirfield,WF14 0DQ,53.693407,-1.709939,Batley and Spen,"O'Mahony, Anna",,,Y,,,Y,,,Y,Y,Y,4,4,E08000034,E02002285,E00056218,7,6.0,82.0,0.97995,2.0,35.7143,0.03759
1-715943482,2013-08-30,Y,Crimson Manor,Yorkshire and The Humber,Kirklees,185 Scar Lane,Huddersfield,HD3 4PZ,53.63982,-1.83749,Colne Valley,"Sanderson, Tina",,,Y,,Y,,,Y,,,,4,4,E08000034,E02002311,E00056184,20,14.0,70.0,0.95795,3.0,13.5401,0.04679
1-7527933367,2019-11-04,Y,Birch Park Care Home,Yorkshire and The Humber,Kirklees,Serpentine Road,Cleckheaton,BD19 3HU,53.725623,-1.714538,Batley and Spen,"Goldstein, Alan",Y,Y,,,Y,,Y,Y,Y,Y,Y,1,1,E08000034,E02002275,E00055756,86,69.0,80.0,0.97225,,,
