msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02004081,0,0,0,1,8,4,0,0
E02004082,0,0,1,1,2,4,10,11
E02004083,0,0,0,1,2,3,0,0
E02004084,0,0,0,0,0,3,7,3
E02004085,1,1,0,0,0,5,5,19
E02004086,0,7,3,4,0,0,3,3
E02004087,0,0,0,1,4,0,2,3
E02004088,18,19,3,5,0,6,5,4
E02004089,0,0,0,4,3,0,0,0
E02004090,0,0,0,0,0,0,3,3
E02004091,0,1,5,9,5,0,6,4
E02004092,0,0,0,0,0,0,0,0
E02004093,1,3,3,0,1,1,5,2
E02004094,0,4,0,0,0,4,6,2
E02004095,0,0,1,1,5,1,2,2
E02004096,0,0,0,1,6,8,12,5
E02004097,0,0,0,0,0,3,1,2
E02004098,0,3,5,6,8,1,1,1
E02004100,1,0,0,1,0,3,13,7
E02004102,0,14,7,11,4,13,22,16
E02004103,0,0,0,0,0,0,8,2
E02004104,0,1,0,1,0,0,0,0
E02004105,0,0,0,0,4,6,3,6
E02004106,0,0,0,0,0,0,0,0
E02004108,0,1,2,0,0,2,4,13
E02004109,0,0,0,0,0,0,1,11
E02004110,0,0,0,0,0,0,0,0
E02004111,0,0,0,2,11,2,1,0
E02004112,0,0,0,0,4,3,11,5
E02004113,0,3,4,6,9,2,9,12
E02004114,0,0,0,0,2,2,3,7
E02004115,0,0,0,0,0,4,6,5
E02004116,0,0,0,0,0,3,5,10
E02004117,0,0,0,0,1,2,4,4
E02004118,0,0,2,6,10,0,2,4
E02004119,0,0,3,0,3,3,4,7
E02004120,0,0,0,0,0,0,2,3
E02004121,0,0,0,0,0,2,0,5
E02004122,101,103,4,2,5,7,9,5
E02004123,0,0,0,0,2,1,2,4
E02004124,0,0,0,0,4,0,0,0
E02004125,0,0,0,0,3,1,2,2
E02004126,0,0,2,2,2,6,3,0
E02004128,5,9,3,10,10,5,11,17
E02005334,0,0,0,0,3,0,2,3
E02005335,0,1,1,1,7,7,4,10
E02005336,0,0,0,0,1,0,0,0
E02005337,0,0,0,8,0,0,0,0
E02005338,0,0,0,0,0,0,1,1
E02005339,0,0,1,3,5,1,1,0
E02005340,0,0,0,0,0,0,2,4
E02005341,0,0,0,0,1,1,2,11
E02005342,0,0,0,0,0,1,0,3
E02005343,0,0,0,0,0,0,0,4
E02005344,0,0,0,0,5,5,8,7
E02005345,0,0,0,1,0,0,0,0
E02005346,0,139,33,10,2,7,5,1
E02005347,0,563,63,26,18,3,15,3
E02005348,1,44,5,0,0,0,4,2
E02005349,0,0,0,4,6,5,4,0
E02005350,0,1,2,16,24,22,19,8
E02005351,4,3021,53,10,4,0,0,0
E02005352,14,14,6,19,8,0,1,2
E02005353,21,166,31,9,2,0,2,2
E02005354,0,125,0,5,16,0,3,1
E02005355,0,0,0,0,0,2,4,2
E02005356,0,0,2,2,8,7,10,7
E02005357,0,1,2,9,6,0,0,0
E02005358,4,0,1,0,0,0,1,4
E02005359,0,0,0,0,1,2,8,9
E02005360,6,97,6,3,1,0,2,4
E02005361,0,0,1,2,6,5,9,12
E02005362,0,0,0,1,3,12,8,6
E02005363,0,0,2,0,4,2,5,7
E02005364,0,0,0,0,0,0,0,0
E02005365,0,0,2,1,8,3,3,4
E02005366,0,0,0,0,4,2,0,0
E02005368,0,0,0,1,11,7,5,0
E02005369,0,0,0,0,0,1,3,4
E02005370,0,0,0,0,0,1,6,10
E02005371,0,0,2,0,1,3,4,12
E02005372,1,3,3,3,3,3,11,4
E02005373,0,21,171,214,153,23,4,0
E02005374,26,90,8,4,3,1,8,2
E02005375,0,0,0,1,5,5,26,29
E02005376,0,0,0,0,1,2,5,3
E02005377,1,0,0,3,7,4,0,1
E02005378,2,0,0,0,0,0,0,0
E02005379,0,0,4,0,2,0,0,0
E02005380,0,0,0,1,0,0,11,4
E02005381,2,0,0,2,4,4,12,9
E02005382,0,0,0,0,0,2,2,13
E02005383,0,1,0,1,0,2,5,12
E02005384,14,5,2,8,4,1,2,8
E02005385,0,0,0,0,0,0,0,0
E02005386,0,8,0,7,15,13,11,7
E02005387,0,0,0,0,0,1,0,0
E02005388,0,0,0,0,0,0,0,0
E02005389,0,0,0,0,0,2,8,18
E02005390,1,1,0,0,0,0,0,0
E02005391,3,0,0,0,0,0,0,0
E02005392,0,0,2,0,0,0,6,3
E02005393,3,42,0,2,1,0,0,0
E02005394,0,0,0,1,1,3,3,8
E02005395,0,1,5,11,12,0,3,8
E02005396,5,0,0,0,3,10,10,7
E02005397,1,0,0,0,1,3,3,7
E02005398,0,0,0,0,0,0,0,0
E02005399,0,0,0,0,0,0,0,0
E02005400,0,0,0,2,6,1,2,2
E02005401,0,0,0,0,0,0,0,0
E02005402,0,0,0,0,0,4,17,12
E02005403,0,0,3,2,1,2,1,0
E02005404,0,0,0,0,0,0,1,3
E02005405,2,2,2,4,7,1,6,8
E02005406,0,0,1,1,9,7,20,4
E02005407,0,0,0,0,0,0,0,0
E02005408,0,1,0,0,0,0,0,0
E02005409,1,0,0,0,0,2,0,1
E02005412,2,1,0,3,11,7,10,16
E02005414,0,0,5,5,16,13,17,23
E02005415,0,0,0,0,3,6,7,7
E02005416,0,0,0,0,0,0,0,0
E02005417,0,4,60,124,101,28,12,1
E02005418,1,0,0,0,4,1,5,5
E02005419,0,5,0,0,3,2,1,5
E02005420,0,0,1,2,1,1,3,3
E02005422,0,0,0,0,0,0,0,0
E02005423,0,0,0,0,0,3,5,15
E02005424,7,3,10,4,0,4,8,4
E02005425,0,0,0,0,0,0,0,0
E02005426,0,0,1,2,2,10,20,25
E02005427,0,2,11,18,15,2,8,3
E02005428,0,3,5,16,18,4,11,9
E02005429,0,0,0,2,7,9,8,10
E02005430,0,0,0,0,0,0,3,7
E02005431,0,0,3,8,2,5,6,8
E02005432,0,0,6,7,8,3,4,8
E02005433,0,3,9,3,6,2,2,9
E02005434,0,2,2,3,6,5,9,7
E02005435,0,0,0,0,0,1,10,6
E02005436,0,3,12,18,5,7,5,7
E02005437,4,0,8,16,9,14,20,9
E02005438,0,0,0,0,0,3,6,1
E02005439,0,254,195,49,22,3,12,16
E02005440,0,0,2,1,1,0,3,6
E02005441,0,0,0,0,1,1,8,5
E02005442,0,0,0,0,6,0,6,4
E02005443,0,0,0,2,6,11,13,10
E02005444,0,149,134,145,46,10,21,14
E02005445,5,242,32,23,18,2,0,0
E02005446,0,1441,38,27,16,3,8,4
E02005447,0,15,1,0,10,6,9,13
E02005448,0,0,0,0,0,0,0,0
E02005449,0,761,50,4,2,2,6,11
E02005450,0,0,0,0,3,1,4,13
E02005451,0,0,0,0,0,1,3,6
E02005452,0,0,0,0,2,1,6,4
E02005453,0,0,14,1,0,0,0,0
E02005455,11,38,32,29,4,10,20,12
E02005456,0,140,141,51,16,5,4,4
E02005457,0,0,0,0,0,6,11,16
E02005458,0,11,27,0,1,2,9,23
E02005459,0,7,4,4,5,6,5,3
E02005460,0,194,203,68,25,2,0,0
E02005461,0,1,4,0,0,3,3,2
E02005462,0,1,5,3,0,1,11,6
E02005463,0,0,2,2,1,6,5,3
E02005464,0,3,16,1,3,0,3,2
E02005465,0,0,2,3,6,4,7,10
E02005466,0,2,0,0,0,4,7,7
E02005467,0,0,1,0,0,0,4,3
E02005468,1,0,0,0,0,0,1,5
E02005469,0,0,0,0,0,0,0,6
E02005470,2,0,1,0,0,2,6,6
E02005471,2,0,0,5,2,1,2,0
E02005472,0,0,0,1,1,2,12,13
E02005473,0,0,0,0,3,7,37,23
E02005474,0,3,4,5,5,4,9,12
E02005475,0,0,0,0,0,1,0,3
E02005476,0,0,0,0,0,1,1,0
E02005477,1,0,0,1,11,4,0,0
E02005478,0,1,0,0,0,1,8,8
E02005479,0,0,0,1,1,13,22,13
E02005480,0,0,0,0,0,0,0,0
E02005481,0,29,0,0,5,5,6,23
E02005482,0,2,4,8,1,0,1,0
E02005483,0,0,0,0,0,0,5,12
E02005484,0,2,2,0,0,0,0,0
E02005485,0,0,0,0,0,4,10,13
E02005486,0,0,0,0,1,6,9,14
E02005487,19,0,0,0,0,2,5,3
E02005488,0,0,1,7,7,4,6,6
E02005489,0,0,1,4,0,1,3,4
E02005490,0,16,0,0,2,6,6,10
E02005491,43,26,0,3,0,0,4,5
E02005492,0,0,1,6,8,6,11,19
E02005493,0,0,3,3,22,7,12,11
E02005494,0,2,1,3,4,7,7,11
E02005495,4,4,3,3,13,8,16,16
E02005496,0,0,10,5,5,0,0,0
E02005497,0,1,9,2,4,1,4,4
E02005498,0,0,1,7,33,14,13,3
E02005499,6,17,11,4,2,0,0,0
E02005500,0,42,22,12,8,1,2,9
E02005501,0,0,0,0,0,0,7,3
E02005502,0,9,11,1,2,1,5,16
E02005612,0,2,8,13,6,5,5,7
E02005613,0,0,0,0,0,5,5,6
E02005614,0,1,0,0,2,1,6,4
E02005615,0,0,0,0,0,0,0,0
E02005616,0,0,0,0,0,0,0,0
E02005617,0,0,0,0,0,0,0,0
E02005619,0,3,0,3,3,1,1,10
E02005620,61,1,5,7,23,5,2,3
E02005621,2,94,461,360,240,59,25,2
E02005622,0,0,0,0,0,0,1,0
E02005623,1,59,5,0,2,5,13,12
E02005624,0,0,0,0,0,0,0,0
E02005625,0,0,1,0,1,7,13,15
E02005626,0,0,0,0,0,0,1,0
E02005627,0,1,3,4,1,1,0,0
E02005628,0,3,2,8,12,5,5,1
E02005629,0,0,0,1,1,1,0,6
E02005630,274,215,3,8,4,3,6,9
E02005631,0,1,3,2,1,0,3,6
E02005632,0,0,0,3,7,16,20,14
E02005633,0,0,0,5,0,3,12,11
E02005634,0,0,0,0,0,5,8,10
E02005635,0,0,0,0,2,0,2,10
E02005636,0,1,4,5,9,5,12,11
E02005637,0,2,2,3,3,4,8,7
E02005638,0,3,5,3,1,2,2,2
E02005639,0,1,0,0,0,1,2,6
E02005640,0,1,0,4,1,3,16,12
E02005641,0,0,0,0,0,0,0,0
E02005642,0,0,2,3,6,1,4,9
E02005643,0,0,0,0,0,0,0,0
E02005644,0,5,8,12,13,2,1,2
E02005645,6,2,8,13,6,17,18,21
E02005646,0,0,0,0,0,0,0,0
E02005647,0,4,1,0,5,3,9,6
E02005648,0,6,4,1,6,2,4,4
E02005650,0,180,17,5,10,2,4,2
E02005651,0,2,0,0,0,0,0,2
E02005652,0,0,0,6,6,13,5,8
E02005653,0,0,2,2,0,1,6,1
E02005654,0,0,0,0,0,0,0,0
E02005655,0,3,7,2,5,2,1,0
E02005656,0,0,0,0,0,0,1,0
E02005657,0,0,2,3,8,4,5,5
