msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002881,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02002882,1,9,1,0,0,0,1,0,1,0,0,2,0,0,2,4,21
E02002883,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,8
E02002884,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9
E02002885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002887,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002889,3,5,0,0,0,0,0,0,0,0,0,26,0,0,6,9,49
E02002890,0,1,0,0,0,0,0,0,0,0,0,13,0,0,2,2,18
E02002891,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02002892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002893,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,17
E02002895,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,15
E02002896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
E02002897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02002898,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,6
E02002901,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002902,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
E02002903,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004029,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02004030,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
E02004031,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004032,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004033,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02004034,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E02004035,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5
E02004036,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004038,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7
E02004039,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02004040,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02004041,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02004043,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02004044,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10
E02004045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02004046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004047,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004049,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02004051,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4
E02004052,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004054,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004055,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
E02004056,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
E02004057,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02004058,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004059,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02004060,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004061,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6
E02004062,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02004063,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
E02004064,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10
E02004065,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
E02004066,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,11
E02004067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02004068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9
E02004069,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,10,17
E02004072,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,3,10
E02004073,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13
E02004074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02004075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10
E02004076,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
E02004077,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,3,8
E02004078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004080,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02004081,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6
E02004082,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02004083,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004084,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004085,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7
E02004086,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
E02004087,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004088,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
E02004089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
E02004090,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02004092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004093,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E02004094,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004095,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004096,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
E02004097,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004098,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5
E02004100,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6
E02004102,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,6,21
E02004103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02004104,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4
E02004105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004108,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004111,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
E02004112,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5
E02004113,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
E02004114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02004115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004116,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
E02004117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E02004118,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
E02004119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02004121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004122,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,7
E02004123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02004124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004125,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
E02004126,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
E02004128,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8
E02005334,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005335,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02005336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
E02005338,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02005339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E02005340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02005341,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02005343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
E02005345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005346,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,8,16
E02005347,3,3,0,1,0,0,0,0,0,0,0,14,0,1,0,4,26
E02005348,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E02005349,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02005350,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02005351,0,2,0,0,0,0,0,0,0,0,0,16,0,0,1,1,20
E02005352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
E02005353,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,7,15
E02005354,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
E02005355,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02005356,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
E02005357,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02005358,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5
E02005359,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02005360,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7
E02005361,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02005362,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02005363,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02005364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005365,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
E02005366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005369,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02005370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02005371,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,8
E02005372,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,7
E02005373,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
E02005374,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6
E02005375,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02005376,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5
E02005377,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02005378,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02005381,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7
E02005382,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
E02005383,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005384,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,7
E02005385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02005386,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,13
E02005387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02005388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005389,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005390,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02005391,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3
E02005392,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
E02005393,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
E02005394,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7
E02005395,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
E02005396,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
E02005397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10
E02005398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
E02005399,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,6
E02005400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02005401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02005402,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005403,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02005404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02005405,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,5
E02005406,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
E02005407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02005408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02005409,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02005412,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
