msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02003392,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
E02003393,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10
E02003396,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9
E02003397,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
E02003398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
E02003400,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,2,9
E02003401,3,6,0,0,0,0,0,4,2,0,0,0,0,1,0,3,19
E02003402,1,0,0,3,0,0,0,1,0,0,0,5,0,0,0,4,14
E02003403,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4
E02003404,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,24
E02003405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
E02003406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02003407,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
E02003408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02003409,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02003411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02003415,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8
E02003416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E02003417,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,5,10
E02003418,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02003420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
E02003421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003422,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,9
E02003423,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003424,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11
E02003425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
E02003426,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5
E02003427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003428,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
E02003429,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,8
E02003430,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,8
E02003431,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003432,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,9
E02003433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
E02003434,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003435,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,5
E02003436,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
E02003437,2,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,9
E02003438,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,8
E02003439,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5
E02003440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
E02003442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003446,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
E02003447,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
E02003448,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02003449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003450,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9
E02003451,2,3,0,0,0,0,0,2,0,0,0,1,0,0,0,1,9
E02003452,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
E02003453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003454,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
E02003455,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003456,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
E02003457,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003458,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
E02003459,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5
E02003460,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
E02003461,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003462,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
E02003466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02003467,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
E02003469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02003472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
E02003473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02003476,1,2,0,1,0,4,0,0,0,0,0,0,0,0,1,0,9
E02003478,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
E02003479,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
E02003480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
E02003481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02003482,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
E02003483,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003486,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
E02003487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4
E02003489,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
E02003490,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
E02003491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003492,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32
E02003493,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02003494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003497,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003498,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
E02003499,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
E02003500,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003501,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
