Middle layer Super Output Areas Code,other,bisexual,homosexual,unknown,heterosexual,total,heterosexual percentage,homosexual percentage,bisexual percentage,other percentage,unknown percentage
E02000110,32,117,159,859,5601,6736,83.15023752969121,2.3604513064133017,1.7369358669833728,0.4750593824228029,12.752375296912113
E02000111,68,112,39,1049,7766,8966,86.61610528663842,0.4349765781842516,1.249163506580415,0.7584207004238233,11.69975462859692
E02000112,50,156,90,1153,8256,9655,85.51009839461419,0.9321595028482652,1.6157431382703262,0.5178663904712585,11.94199896426722
E02000113,22,52,42,812,6504,7410,87.77327935222672,0.5668016194331984,0.7017543859649122,0.2968960863697706,10.95816464237517
E02000114,65,133,263,903,6235,7534,82.75816299442528,3.4908415184496953,1.7653305017255112,0.8627555083620918,11.985664985399522
E02000115,45,129,237,869,6011,7246,82.95611371791333,3.270770080044162,1.7802925752139112,0.6210322936792714,11.992823626828596
E02000116,40,88,101,723,5723,6635,86.25470987189149,1.522230595327807,1.3262999246420497,0.6028636021100227,10.896759608138659
E02000117,33,94,143,1087,8322,9646,86.27410325523533,1.482479784366577,0.9744972009122952,0.34211071946921,11.268919759485797
E02000118,62,163,38,1091,7896,9188,85.93818023508925,0.413582934262081,1.7740531127557684,0.674793208532869,11.874183717892905
E02000119,27,109,94,906,7037,8146,86.38595629756935,1.1539405843358703,1.3380800392830838,0.3314510189049841,11.122023078811687
E02000120,53,170,236,804,6347,7557,83.98835516739447,3.122932380574302,2.249569935159455,0.7013365091967712,10.639142516871775
E02000121,60,205,88,1182,8311,9786,84.9274473737993,0.8992438176987533,2.094829348048232,0.6131207847946045,12.078479460453709
E02000122,43,93,117,711,5726,6647,86.14412516924929,1.7601925680758235,1.399127425906424,0.6469083797201746,10.696554836768467
E02000123,60,172,197,1127,9232,10728,86.05518269947801,1.836316181953766,1.603281133482476,0.5592841163310962,10.505219985085755
E02000124,44,127,232,819,6898,8076,85.4135710747895,2.8727092620108965,1.5725606736007924,0.5448241703813769,10.14115898959881
E02000125,42,126,159,861,6880,8026,85.72140543234488,1.9810615499626216,1.569897832045851,0.5232992773486169,10.72763518564665
E02000126,21,68,167,745,5573,6553,85.0450175492141,2.5484510911033116,1.0376926598504501,0.32046390965969784,11.36883869983214
E02000127,23,63,119,578,6436,7196,89.43857698721513,1.6536964980544748,0.8754863813229572,0.3196220122290161,8.032240133407448
E02000128,16,41,64,411,5569,6085,91.52013147082991,1.0517666392769103,0.6737880032867708,0.26294165981922757,6.754313886606409
E02000130,25,99,206,649,5838,6792,85.95406360424029,3.032979976442874,1.4575971731448762,0.36808009422850413,9.555359246171967
E02000131,69,216,457,713,7178,8564,83.81597384399814,5.3362914525922465,2.5221858944418494,0.8056982718355908,8.325548808967772
E02000132,19,141,193,669,7208,8211,87.78467908902692,2.350505419559128,1.7172086225794667,0.23139690658872245,8.14760686883449
E02000133,13,53,83,599,7951,8686,91.538107299102,0.9555606723463044,0.6101772967994473,0.14966612940363805,6.896154731752245
E02000134,34,119,208,768,8314,9409,88.36220639812944,2.2106493782548626,1.2647465192900413,0.36135614836858326,8.162397704325645
E02000135,46,131,181,749,6865,7926,86.6136765076962,2.2836235175372193,1.6527882916982084,0.58036840777189,9.449911683068382
E02000136,3,30,53,321,4246,4650,91.31182795698925,1.1397849462365592,0.6451612903225806,0.06451612903225806,6.903225806451613
E02000137,16,63,127,492,6124,6806,89.97942991478108,1.8660005877167203,0.9256538348516015,0.23508668821627976,7.228915662650602
E02000138,18,64,162,526,6465,7217,89.58015796037134,2.244700013856173,0.8867950672024387,0.24941111265068586,7.288346958570043
E02000139,30,70,134,470,5435,6109,88.96709772466852,2.193485022098543,1.1458503846783434,0.4910787362907186,7.693566868554591
E02000140,13,65,77,504,5928,6574,90.17341040462428,1.1712808031639792,0.9887435351384242,0.19774870702768482,7.666565257073319
E02000141,33,106,146,528,5014,5794,86.53779772178115,2.5198481187435275,1.8294787711425613,0.5695547117707974,9.112875388332759
E02000142,14,76,101,521,6295,6993,90.01859001859002,1.4443014443014444,1.0868010868010867,0.20020020020020018,7.4503074503074505
E02000144,29,105,160,604,7208,8077,89.24105484709669,1.9809335149189053,1.2999876191655317,0.35904419957905165,7.478024018818869
E02000145,19,66,103,506,5986,6661,89.8663864284642,1.5463143672121304,0.990842215883501,0.2852424560876745,7.596456988440174
E02000146,28,70,153,585,6898,7706,89.51466389826109,1.985465870750065,0.9083830781209448,0.3633532312483779,7.591487152867896
E02000147,11,44,70,410,6027,6551,92.00122118760494,1.0685391543275837,0.6716531827201954,0.16791329568004884,6.258586475347275
E02000148,8,23,54,333,4989,5399,92.40600111131691,1.0001852194850898,0.42600481570661236,0.14817558807186515,6.167808853491388
E02000149,8,54,132,452,5854,6492,90.17252002464572,2.033271719038817,0.8317929759704251,0.12322858903265559,6.96241528034504
E02000150,16,49,46,432,6203,6730,92.16939078751857,0.6835066864784547,0.7280832095096582,0.237741456166419,6.419019316493313
E02000151,3,25,52,380,5544,6001,92.38460256623895,0.8665222462922846,0.4165972337943676,0.049991668055324116,6.332277953674388
E02000152,10,51,68,455,5547,6121,90.62244731253062,1.1109295866688451,0.8331971900016338,0.16337199803953603,7.433425910798889
E02000153,13,36,44,379,5907,6366,92.78982092365693,0.6911718504555451,0.5655042412818096,0.20420986490732015,5.953502984605718
E02000154,23,60,77,505,6314,6956,90.77055779183438,1.1069580218516388,0.8625646923519263,0.33064979873490513,7.259919493962047
E02000155,15,45,80,463,5369,5957,90.12925969447708,1.342957864696995,0.7554137988920598,0.2518045996306866,7.772368641933859
E02000156,21,71,97,670,9216,10054,91.66500895166104,0.9647901332802864,0.7061865924010344,0.20887209071016513,6.664014322657649
E02000157,12,44,58,440,6192,6734,91.95129195129195,0.8613008613008613,0.6534006534006533,0.1782001782001782,6.534006534006534
E02000158,9,40,50,443,5583,6116,91.28515369522565,0.8175277959450621,0.6540222367560496,0.1471550032701112,7.24329627207325
E02000159,8,40,47,292,5518,5897,93.57300322197727,0.7970154315753774,0.6783110055960658,0.13566220111921318,4.9516703408512805
E02000160,12,38,64,455,5965,6522,91.45967494633548,0.9812940815700706,0.5826433609322293,0.18399264029438822,6.97638761116222
E02000161,12,44,47,532,6286,6909,90.98277608915907,0.6802721088435374,0.636850484874801,0.17368649587494572,7.700101317122594
E02000162,5,34,42,381,5326,5783,92.09752723499913,0.7262666436105828,0.5879301400657099,0.08646031471554556,6.588275981324572
E02000163,14,45,50,442,5746,6283,91.45312748686933,0.7957981855801368,0.7162183670221232,0.2228234919624383,7.034855960528411
E02000165,10,35,45,353,5339,5772,92.4982674982675,0.7796257796257797,0.6063756063756064,0.17325017325017325,6.115731115731116
E02000166,45,128,221,586,5548,6483,85.57766466142218,3.40891562548203,1.9743945704149315,0.6941230911614993,9.039025142680858
E02000167,20,103,205,567,5107,5982,85.37278502173187,3.4269475091942496,1.721832163156135,0.3343363423604146,9.478435305917753
E02000168,34,196,235,575,5583,6589,84.7321293064198,3.5665503111246015,2.9746547275762634,0.5160115343754742,8.726665654879344
E02000169,20,66,125,540,5003,5734,87.2514823857691,2.179979072200907,1.151028950122079,0.3487966515521451,9.417509591907917
E02000170,36,126,193,595,5628,6542,86.02873738917762,2.9501681442983796,1.9260165087129317,0.5502904310608377,9.095077957811066
E02000171,27,140,219,602,5223,6184,84.45989650711513,3.5413971539456663,2.263906856403622,0.43661060802069857,9.734799482535577
E02000172,59,181,215,887,6823,8106,84.17221811004194,2.6523562792992847,2.232913890944979,0.7278559092030594,10.942511719713792
E02000173,28,121,177,659,5188,6145,84.42636289666396,2.8803905614320584,1.9690805532953621,0.4556550040683482,10.724165988608625
E02000174,56,182,269,682,5572,6705,83.10216256524981,4.01193139448173,2.714392244593587,0.8351976137211037,10.17151379567487
E02000175,45,181,283,736,6636,7836,84.68606431852986,3.6115364982133737,2.3098519652884124,0.5742725880551302,9.392547217968351
E02000176,38,101,154,509,4166,4930,84.50304259634889,3.123732251521298,2.04868154158215,0.7707910750507099,10.324543610547668
E02000177,57,159,196,751,5935,7041,84.29200397670785,2.7836954977986084,2.258201959948871,0.8095440988495952,10.666098565544667
E02000178,52,181,303,773,6303,7560,83.37301587301587,4.007936507936508,2.394179894179894,0.6878306878306878,10.224867724867725
E02000179,31,88,144,466,3989,4687,85.10774482611478,3.072327714956262,1.8775336035843824,0.661403883080862,9.94239385534457
E02000180,68,234,305,738,5397,6674,80.86604734791729,4.5699730296673655,3.506143242433323,1.0188792328438718,11.05783637998202
E02000181,32,153,245,662,5747,6807,84.42779491699721,3.5992360805053623,2.247686205376818,0.47010430439253703,9.725282797120611
E02000182,21,69,142,632,4921,5764,85.37473976405275,2.4635669673837612,1.197085357390701,0.36433032616238725,10.964607911172797
E02000183,44,131,203,571,5497,6402,85.8637925648235,3.1708840987191502,2.0462355513901906,0.6872852233676976,8.919087785067166
E02000184,79,323,319,883,6143,7668,80.11215440792905,4.160146061554512,4.2123109024517476,1.0302556077203964,11.515388628064684
E02000185,43,141,175,806,6099,7221,84.4619858745326,2.4234870516548956,1.9526381387619443,0.5954853898352028,11.161888935050547
E02000186,44,191,271,590,4339,5391,80.48599517714709,5.026896679651271,3.542941940270822,0.816175106659247,10.94416620293081
E02000187,49,196,217,857,6669,7939,84.00302305076207,2.7333417306965613,2.468824789016249,0.6172061972540622,10.794810429525128
E02000188,55,150,192,737,4796,5875,81.63404255319149,3.2680851063829786,2.553191489361702,0.9361702127659575,12.54468085106383
E02000191,52,246,352,642,3731,4971,75.05532086099377,7.08107020720177,4.948702474351237,1.0460671897002616,12.91490645745323
E02000192,32,126,335,636,4612,5709,80.78472587143108,5.867927833245752,2.207041513399895,0.5605184795936241,11.140304781923279
E02000193,42,194,468,663,4137,5462,75.74148663493226,8.568290003661662,3.55181252288539,0.7689491028927133,12.138410838520688
E02000194,33,141,292,657,6360,7450,85.36912751677852,3.919463087248322,1.8926174496644295,0.44295302013422816,8.818791946308725
E02000195,26,64,122,817,6711,7714,86.99766658024372,1.5815400570391496,0.8296603577910292,0.33704952035260566,10.591133004926109
E02000196,18,49,87,728,5598,6462,86.62952646239555,1.3463324048282266,0.7582791705354379,0.2785515320334262,11.265861962240791
E02000197,28,49,91,752,6396,7288,87.76070252469813,1.248627881448957,0.672338090010977,0.38419319429198684,10.318331503841932
E02000198,39,89,101,709,6073,6972,87.10556511761331,1.4486517498565692,1.27653471026965,0.5593803786574871,10.16924842226047
E02000199,25,75,103,671,5876,6725,87.37546468401487,1.5315985130111525,1.1152416356877324,0.37174721189591076,9.977695167286244
E02000200,31,134,167,674,6345,7320,86.68032786885246,2.281420765027322,1.830601092896175,0.4234972677595628,9.207650273224044
E02000201,38,108,159,731,5747,6745,85.2038547071905,2.357301704966642,1.6011860637509268,0.5633802816901409,10.83765752409192
E02000202,31,63,97,810,6143,7113,86.36299732883452,1.363700267116547,0.8857022353437369,0.4358217348516801,11.387600168705188
E02000203,28,67,84,735,5379,6265,85.85794094173983,1.3407821229050279,1.0694333599361534,0.44692737430167595,11.731843575418994
E02000204,39,63,72,867,6570,7572,86.76703645007923,0.9508716323296356,0.832012678288431,0.5150554675118859,11.450079239302694
E02000206,51,134,134,822,7205,8295,86.85955394816153,1.61543098251959,1.61543098251959,0.6148282097649186,9.909584086799276
E02000207,22,80,96,717,6297,7190,87.57997218358831,1.3351877607788596,1.1126564673157162,0.305980528511822,9.972183588317108
E02000208,40,92,111,894,6992,8089,86.43837309927062,1.372233897886018,1.1373470144640871,0.4944987019409074,11.05204598837928
E02000209,30,90,54,710,6123,6977,87.75978214132148,0.7739716210405618,1.2899527017342698,0.4299842339114232,10.176293535903683
E02000210,34,103,120,690,5995,6908,86.78343949044586,1.7371163867979156,1.4910248986682109,0.4921829762594094,9.988419224088014
E02000211,16,44,60,506,6200,6810,91.04258443465491,0.881057268722467,0.6461086637298091,0.23494860499265785,7.430249632892805
E02000212,42,121,65,804,6171,7161,86.17511520737328,0.907694456081553,1.6897081413210446,0.5865102639296188,11.22748219522413
E02000213,44,178,215,945,8507,9845,86.40934484509903,2.1838496698831893,1.80802437785678,0.44692737430167595,9.598781107160995
E02000214,13,51,61,413,4547,5072,89.64905362776025,1.2026813880126184,1.0055205047318612,0.25630914826498424,8.142744479495267
E02000215,45,196,228,949,8201,9574,85.65907666597033,2.381449759766033,2.047211196991853,0.4700229789011907,9.912262377271777
E02000216,20,94,92,516,5026,5728,87.74441340782123,1.606145251396648,1.6410614525139664,0.34916201117318435,9.008379888268156
E02000217,60,160,218,831,8044,9253,86.93396736193667,2.3559926510320977,1.7291689181886956,0.6484383443207609,8.980871068842537
E02000218,4,54,55,400,4614,5123,90.06441538161233,1.073589693538942,1.054069880929143,0.0780792504391958,7.807925043919578
E02000219,17,39,71,521,5862,6493,90.28184198367472,1.0934852918527644,0.6006468504543354,0.26182042199291544,8.024025874018173
E02000221,36,94,98,815,7315,8322,87.89954337899543,1.1776015380918048,1.1295361691900985,0.43258832011535686,9.793318913722663
E02000222,35,87,150,478,5979,6694,89.31879294890948,2.24081266806095,1.2996713474753512,0.5228562892142217,7.1407230355542275
E02000223,12,77,46,511,5369,6003,89.43861402632017,0.7662835249042145,1.2826919873396636,0.19990004997501248,8.512410461435948
E02000224,27,89,94,488,5706,6377,89.47781088286028,1.4740473576917046,1.3956405833464012,0.42339658146463854,7.652501176101616
E02000225,15,51,64,466,5231,5812,90.00344115622849,1.1011699931176875,0.8774948382656572,0.258086717136958,8.017894012388162
E02000226,13,36,56,454,5724,6270,91.29186602870814,0.8931419457735247,0.5741626794258373,0.2073365231259968,7.240829346092505
E02000227,23,97,84,653,8520,9354,91.08402822322002,0.8980115458627326,1.0369895231986317,0.24588411374812913,6.9809707077186225
E02000228,10,35,54,451,5846,6386,91.54400250548073,0.8455997494519261,0.548073911681804,0.15659254619480112,7.0623238333855305
E02000229,12,37,34,365,4280,4716,90.754877014419,0.720949957591179,0.7845631891433419,0.2544529262086514,7.73960983884648
E02000230,22,79,117,792,7563,8551,88.44579581335516,1.368261022102678,0.9238685533855688,0.25727985030990524,9.26207461115659
E02000231,18,45,62,544,5874,6525,90.02298850574712,0.9501915708812261,0.6896551724137931,0.27586206896551724,8.337164750957854
E02000232,5,33,43,425,4564,5065,90.1085883514314,0.8489634748272458,0.6515301085883514,0.09871668311944717,8.390918065153011
E02000233,12,43,63,384,4496,4986,90.17248295226634,1.263537906137184,0.8624147613317288,0.24067388688327318,7.701564380264742
E02000234,24,55,100,567,6674,7396,90.23796646836128,1.352082206598161,0.7436452136289886,0.32449972958355866,7.666306111411574
