area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00031886,14,16,16,13,16,8,24,20,18,16,28,25,18,29,22,11,13,11
E00031887,9,5,17,15,15,16,16,13,12,26,33,29,28,26,37,18,9,3
E00031888,22,17,10,11,5,26,12,13,15,7,13,18,18,28,24,14,6,3
E00031889,22,28,24,12,20,14,12,22,22,19,10,18,10,9,9,6,2,3
E00031890,30,36,37,32,15,26,26,30,28,23,20,12,8,12,10,2,2,0
E00031891,5,11,14,11,13,5,18,18,17,21,13,19,23,23,20,18,7,7
E00031892,11,16,13,9,10,17,16,17,16,15,24,23,16,17,18,37,23,33
E00031893,5,20,15,14,11,22,15,20,19,9,22,17,19,11,12,13,4,5
E00031894,9,13,19,11,17,22,16,14,14,8,26,22,14,12,13,15,8,7
E00031895,24,15,18,6,14,19,13,21,12,8,17,11,18,18,13,10,6,6
E00031896,9,12,5,4,15,19,13,18,12,14,22,18,11,23,22,12,3,3
E00031897,11,13,11,11,10,17,19,15,18,15,13,22,15,12,13,11,10,4
E00031898,11,17,15,11,19,28,28,13,22,20,34,22,23,16,24,8,8,6
E00031899,10,10,10,9,16,23,22,13,19,14,31,27,16,14,15,4,4,9
E00031900,22,15,22,11,22,29,32,30,24,25,24,20,14,12,10,9,3,1
E00031901,28,22,23,21,17,14,18,31,20,26,28,30,23,26,13,11,7,6
E00031902,32,19,20,12,31,36,37,40,25,25,21,23,20,11,13,6,4,2
E00031903,18,15,19,14,16,28,26,25,17,16,25,14,18,11,8,4,0,3
E00031904,23,31,28,24,20,23,24,31,14,34,41,34,21,8,6,2,1,0
E00031905,8,10,10,11,20,18,20,13,17,14,33,20,4,12,15,16,8,6
E00031906,16,23,26,23,14,20,28,24,28,33,36,24,42,26,22,14,9,15
E00031907,12,12,13,3,18,19,18,10,19,20,23,22,11,13,27,10,6,9
E00031908,43,38,33,28,23,37,26,29,29,21,30,17,10,9,14,4,3,1
E00031909,16,6,9,16,14,18,21,8,15,19,27,28,38,27,22,18,7,4
E00031910,8,19,15,15,10,10,15,17,7,18,18,20,12,13,16,18,9,19
E00031911,27,17,26,31,30,24,24,35,26,22,35,28,20,7,8,7,7,5
E00031912,21,13,11,13,10,26,24,24,20,19,22,31,13,10,8,4,10,1
E00031913,8,9,13,8,11,14,16,11,12,14,16,18,19,17,24,19,15,4
E00031914,22,36,35,21,14,31,28,19,18,20,27,15,17,14,7,6,5,7
E00031915,31,27,26,24,16,39,38,37,33,40,37,24,25,16,20,11,1,6
E00031916,15,16,22,14,10,22,13,13,19,18,24,21,18,10,18,8,10,0
E00031917,8,13,19,8,14,14,14,18,17,25,27,14,17,16,19,9,6,6
E00031918,15,17,17,13,16,22,20,29,13,18,30,16,14,16,12,8,2,2
E00031919,11,20,20,9,13,16,30,17,14,10,26,20,21,9,3,4,8,5
E00031920,33,23,16,12,19,42,52,26,22,24,28,20,25,12,8,10,3,1
E00031921,9,14,12,19,12,22,22,18,12,25,29,20,21,10,14,22,8,5
E00031922,17,26,25,23,12,26,21,28,21,21,25,15,8,14,12,6,8,5
E00031923,19,25,27,18,12,12,30,16,15,31,17,23,15,11,19,16,10,7
E00031924,19,17,12,13,13,26,15,20,21,22,26,23,11,18,17,6,2,7
E00031925,16,20,33,25,11,15,15,35,24,29,41,28,8,10,14,18,5,0
E00031926,21,18,25,17,16,16,32,24,23,19,14,25,11,10,12,8,13,7
