msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02004081,0,0,0,0,8,5,3,1
E02004082,0,0,3,2,1,8,31,50
E02004083,0,0,0,0,4,3,0,0
E02004084,0,0,0,0,0,1,6,13
E02004085,0,2,0,2,2,6,18,56
E02004086,2,4,2,1,4,0,0,14
E02004087,0,0,1,0,4,1,4,9
E02004088,5,30,4,3,0,7,7,16
E02004089,0,8,5,3,2,0,0,1
E02004090,0,0,0,0,0,1,6,10
E02004091,0,0,0,0,0,1,4,8
E02004092,0,0,0,0,0,0,0,0
E02004093,10,5,0,0,0,2,6,8
E02004094,0,0,0,0,1,2,10,29
E02004095,0,0,1,0,3,1,9,10
E02004096,0,0,0,0,0,3,10,20
E02004097,0,0,0,0,0,0,8,12
E02004098,0,1,3,7,1,0,4,5
E02004100,0,0,1,3,0,1,8,21
E02004102,0,26,1,3,3,4,31,69
E02004103,0,0,0,0,2,0,9,19
E02004104,7,2,1,0,0,0,0,0
E02004105,0,0,0,0,2,1,14,22
E02004106,0,0,0,0,0,0,0,0
E02004108,0,0,2,0,1,1,18,52
E02004109,0,0,0,0,0,0,6,23
E02004110,0,0,0,0,0,0,0,0
E02004111,0,0,0,1,5,2,3,1
E02004112,0,0,0,0,1,3,7,11
E02004113,0,0,0,2,0,5,12,26
E02004114,0,1,0,0,0,0,4,20
E02004115,0,0,0,0,0,5,7,31
E02004116,0,0,0,2,3,1,14,22
E02004117,0,0,0,0,3,9,12,20
E02004118,5,20,45,70,34,2,10,28
E02004119,0,0,0,5,8,4,13,15
E02004120,0,0,0,0,0,0,1,6
E02004121,0,0,0,0,0,2,10,27
E02004122,84,95,3,8,3,4,19,30
E02004123,0,0,0,0,0,0,8,23
E02004124,0,0,0,0,0,0,0,0
E02004125,0,0,0,0,1,2,6,16
E02004126,0,1,1,6,2,4,18,14
E02004128,3,1,0,8,11,10,19,54
E02005334,0,0,0,0,0,2,14,18
E02005335,0,0,2,0,8,3,21,49
E02005336,0,0,0,0,0,0,0,0
E02005337,0,0,3,3,0,0,0,0
E02005338,0,0,0,0,0,0,4,11
E02005339,0,1,0,4,4,0,2,0
E02005340,0,0,0,0,0,2,5,16
E02005341,0,0,0,0,0,3,10,18
E02005342,0,0,0,0,0,0,2,9
E02005343,0,0,0,0,0,2,7,13
E02005344,0,0,0,0,0,9,14,17
E02005345,0,0,0,0,0,0,0,0
E02005346,0,126,9,2,6,0,7,21
E02005347,0,428,55,12,18,12,17,33
E02005348,0,29,4,0,0,4,9,14
E02005349,0,0,2,3,4,3,7,21
E02005350,0,0,1,5,17,12,36,68
E02005351,5,1877,25,6,4,5,0,0
E02005352,3,18,0,0,3,1,4,14
E02005353,12,128,21,3,0,1,4,18
E02005354,0,106,3,1,0,0,0,12
E02005355,0,0,0,0,0,3,5,14
E02005356,0,0,0,0,5,15,15,23
E02005357,0,0,4,4,11,1,0,0
E02005358,0,0,0,0,0,3,6,36
E02005359,0,0,0,0,1,2,9,22
E02005360,3,51,1,0,2,0,4,26
E02005361,1,0,0,5,5,4,7,20
E02005362,1,0,0,0,1,6,8,13
E02005363,0,0,3,0,0,3,17,23
E02005364,0,0,0,0,0,0,0,0
E02005365,0,0,0,3,6,3,9,12
E02005366,0,0,0,0,3,1,0,0
E02005368,0,0,0,0,2,3,5,1
E02005369,0,0,0,0,0,4,10,36
E02005370,0,0,0,0,0,2,5,17
E02005371,0,0,0,5,5,3,14,18
E02005372,4,0,2,3,3,2,8,20
E02005373,0,0,0,0,0,2,0,0
E02005374,1,12,0,2,0,1,13,18
E02005375,0,0,1,3,4,12,21,56
E02005376,0,0,0,0,1,1,1,11
E02005377,1,1,0,0,4,0,0,0
E02005378,0,1,0,0,0,0,0,0
E02005379,0,0,0,0,0,0,0,1
E02005380,0,0,1,0,3,0,9,25
E02005381,5,1,1,0,6,15,17,28
E02005382,0,0,0,0,0,1,13,59
E02005383,0,1,1,0,0,1,13,38
E02005384,16,10,10,7,6,2,7,25
E02005385,0,0,0,0,0,0,0,0
E02005386,0,4,1,5,7,10,17,42
E02005387,1,2,0,0,0,0,0,0
E02005388,0,0,0,0,0,0,0,0
E02005389,0,0,0,0,0,4,12,56
E02005390,0,0,0,0,0,0,0,0
E02005391,4,0,0,0,0,0,1,0
E02005392,0,0,0,0,0,1,3,15
E02005393,0,9,0,0,4,0,0,0
E02005394,1,0,0,0,9,4,15,42
E02005395,0,0,2,0,8,4,9,17
E02005396,3,1,0,0,2,7,18,47
E02005397,0,0,0,0,2,3,4,14
E02005398,0,0,0,0,1,0,0,0
E02005399,0,0,0,0,0,1,0,0
E02005400,0,0,0,4,9,2,6,11
E02005401,0,0,0,0,0,0,0,0
