Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Belmarsh,78,220,68,18,288,*,*,E00176530,E02000314
Brixton,68,184,52,15,340,2,3,E00177601,E02000638
Feltham,18,86,37,*,73,*,*,E00179152,E02000552
Isis,69,260,79,29,154,*,*,E00176530,E02000314
Pentonville,162,343,77,35,381,53,*,E00013494,E02000568
Thameside,122,413,90,123,456,*,5,E00008406,E02000314
Wandsworth,99,279,104,64,807,*,*,E00183128,E02000946
Wormwood Scrubs,150,320,66,53,464,81,4,E00183098,E02000372
