Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Belmarsh,*,99,104,130,177,98,42,20,6,E00176530,E02000314
Brixton,*,*,55,136,206,130,92,32,13,E00177601,E02000638
Feltham,53,136,29,*,*,*,*,*,*,E00179152,E02000552
Isis,*,128,382,74,*,*,*,*,*,E00176530,E02000314
Pentonville,*,96,167,216,296,170,77,21,8,E00013494,E02000568
Thameside,*,98,158,237,371,192,114,33,6,E00008406,E02000314
Wandsworth,*,74,124,218,487,291,128,32,6,E00183128,E02000946
Wormwood Scrubs,*,95,150,214,349,220,83,20,7,E00183098,E02000372
